project,bug_id,add_test_file,class_fqcn,method_name,result
Lang,1,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexNegativeAndHash,Not Pass
Lang,3,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberInvalidBothExponentMarkers,Pass
Lang,3,add_test1.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberInvalidBothExponentMarkersWithSuffix,Pass
Lang,4,add_test.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLookupTranslatorGreedy,Not Pass
Lang,4,add_test1.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLookupTranslatorMaxReduction,Not Pass
Lang,5,add_test.java,org.apache.commons.lang3.LocaleUtilsTest,testUnderscoreWithNumericVariant,Not Pass
Lang,6,add_test.java,org.apache.commons.lang3.StringUtilsTest,testTranslateSurrogatePairConsumed,Not Compilable
Lang,6,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testTranslateSurrogatePairFollowedByChar,Not Compilable
Lang,7,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberAdditional,Not Pass
Lang,8,add_test.java,org.apache.commons.lang3.time.FastDatePrinterTest,testNonDSTTimezone,Not Pass
Lang,8,add_test1.java,org.apache.commons.lang3.time.FastDatePrinterTest,testDSTTimezoneInDST,Not Pass
Lang,9,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testUnterminatedQuoteAdditional,Pass
Lang,10,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831_quotes,Not Pass
Lang,11,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807_CharsArrayValidation,Not Pass
Lang,12,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testStartGreaterThanEnd,Not Pass
Lang,12,add_test1.java,org.apache.commons.lang3.RandomStringUtilsTest,testCharsArrayWithStartEndZero,Not Pass
Lang,13,add_test.java,org.apache.commons.lang3.SerializationUtilsTest,testCustomObjectWithPrimitiveClassField,Pass
Lang,14,add_test.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testEqualsAdditional,Not Pass
Lang,15,add_test.java,org.apache.commons.lang3.reflect.TypeUtilsTest,dummyMethodForTest,Pass
Lang,16,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberAdditional,Not Compilable
Lang,17,add_test.java,org.apache.commons.lang3.StringEscapeUtilsTest,testLang721,Not Pass
