project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,269,1,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,270,2,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,271,3,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,272,4,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,273,5,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,274,6,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,275,7,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,276,8,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,277,9,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,278,10,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,279,11,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,280,12,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,281,13,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,282,14,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,283,15,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,284,16,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,285,17,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,286,18,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,287,19,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,288,20,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,289,21,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,290,22,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,291,23,,,,,Not Compilable
Math,1,Math-1-buggy,function_1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335,292,24,,,,,Not Compilable
