project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,344,1,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,345,2,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,346,3,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,347,4,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,348,5,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,349,6,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,350,7,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,351,8,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,352,9,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind2,add_test1.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,344,1,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind2,add_test1.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,345,2,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind2,add_test1.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,346,3,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind2,add_test1.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,347,4,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind2,add_test1.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,348,5,,,,,Not Compilable
Compress,1,Compress-1-buggy_ind2,add_test1.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,349,6,,,,,Not Compilable
