project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,113,1,,,,,
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,114,2,4,0,0,0,True
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,115,3,11,0,2,0,True
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,116,4,3,0,2,0,True
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,117,5,3,0,0,0,True
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,118,6,3,0,1,1,True
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,119,7,4,0,0,0,True
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,120,8,,,,,
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,121,9,1,0,0,0,True
Jsoup,1,Jsoup-1-buggy_ind1,add_test.java,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,122,10,,,,,
