project,bug_id,add_test_file,class_fqcn,method_name,result
Math,1,add_test.java,org.apache.commons.math3.fraction.BigFractionTest,testDigitLimitConstructor,Not Compilable
Math,1,add_test1.java,org.apache.commons.math3.fraction.FractionTest,testDigitLimitConstructor,Not Compilable
Math,3,add_test.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithEmptyArray,Pass
Math,3,add_test1.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayNaN,Pass
Math,3,add_test2.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayInfinity,Pass
Math,4,add_test.java,org.apache.commons.math3.geometry.euclidean.twod.SubLineTest,testIntersectionVarious,Pass
Math,4,add_test1.java,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,testIntersectionVarious,Pass
Math,8,add_test.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testSampleWithDifferentClasses,Pass
Math,8,add_test1.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testSampleWithCommonSuperclass,Pass
Math,9,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.LineTest,testRevertSimple,Pass
Math,9,add_test1.java,org.apache.commons.math3.geometry.euclidean.threed.LineTest,testRevertGeneral,Not Pass
Math,10,add_test.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2NegativeXPositiveZeroY,Pass
Math,10,add_test1.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2NegativeZeroXPositiveY,Not Pass
Math,10,add_test2.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2BothPositiveInfinity,Pass
Math,14,add_test.java,org.apache.commons.math3.fitting.PolynomialFitterTest,testZeroWeight,Pass
Math,14,add_test1.java,org.apache.commons.math3.fitting.PolynomialFitterTest,testTinyWeight,Pass
Math,18,add_test.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testOptimizationWithFixedDimension,Not Pass
Math,18,add_test1.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testOptimizationAtBoundaryWithRoundingError,Pass
Math,20,add_test.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testLowerBound,Pass
Math,20,add_test1.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testBothBounds2D,Pass
Math,21,add_test.java,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest,testRankOne,Pass
Math,21,add_test1.java,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest,testPivotSelectionBug,Not Pass
Math,22,add_test.java,org.apache.commons.math3.distribution.RealDistributionAbstractTest,testIsSupportLowerBoundInclusive_InfiniteBound,Not Compilable
