project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Closure,1,Closure-1-buggy,add_test.java,com.google.javascript.jscomp.RemoveUnusedVarsTest,testRemoveUnusedFunctionArgsDestructuring,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,44,14,6,6,44,14,6,6,46,15,7,7,46,15,7,7
Closure,2,Closure-2-buggy,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testInterfaceExtendsNonExistentAndExisting,Pass,Not Pass,Pass,Pass,0,0.0000,17,0.2073,0,0.0000,3,0.3333,3,82,0,8,3,82,0,8,6,82,1,9,23,65,4,6
Closure,2,Closure-2-buggy,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testInterfaceExtendsChainNonExistent,Pass,Pass,Pass,Pass,0,0.0000,17,0.2073,0,0.0000,3,0.3333,3,82,0,8,3,82,0,8,6,82,1,9,23,65,4,6
Closure,3,Closure-3-buggy,add_test.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpressionInsideCatchBlock,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,1,0.0556,0,0.0000,270,27,28,18,270,27,29,17,185,129,22,28,185,129,22,28
Closure,3,Closure-3-buggy,add_test1.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpressionWithMultipleStatements,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,1,0.0556,0,0.0000,270,27,28,18,270,27,29,17,185,129,22,28,185,129,22,28
Closure,4,Closure-4-buggy,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testExtendsCycleThree,Not Pass,Not Pass,Not Pass,Pass,3,0.0909,22,0.2821,1,0.1111,4,0.2000,25,33,3,9,28,30,4,8,28,78,4,20,50,56,8,16
Closure,4,Closure-4-buggy,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testInterfaceExtendsCycle,Not Pass,Not Pass,Not Pass,Pass,3,0.0909,22,0.2821,1,0.1111,4,0.2000,25,33,3,9,28,30,4,8,28,78,4,20,50,56,8,16
Closure,5,Closure-5-buggy,add_test.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testNoInlineDeletedPropertyWithReassign,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,110,25,20,12,110,25,20,12,112,37,20,16,112,37,20,16
Closure,5,Closure-5-buggy,add_test1.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testNoInlineNestedDelete,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,110,25,20,12,110,25,20,12,112,37,20,16,112,37,20,16
Closure,6,Closure-6-buggy,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testEnumConstructorVariableAssignment,Pass,Not Pass,Not Pass,Pass,13,0.2203,13,0.2203,5,0.2500,5,0.2500,46,59,10,20,59,46,15,15,74,59,10,20,87,46,15,15
