project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Collections,1,Collections-1-buggy,add_test.java,org.apache.commons.collections.map.TestFlat3Map,testEntryIteratorSetValue2Size2,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,52,10,6,6,52,10,6,6,46,20,6,6,46,20,6,6
Collections,1,Collections-1-buggy,add_test1.java,org.apache.commons.collections.map.TestFlat3Map,testMapIteratorSetValue2Size2,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,52,10,6,6,52,10,6,6,46,20,6,6,46,20,6,6
Collections,2,Collections-2-buggy,add_test.java,org.apache.commons.collections.TestExtendedProperties,testLoadISO88591Encoding,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,2,Collections-2-buggy,add_test1.java,org.apache.commons.collections.TestExtendedProperties,testIncludeWithISO88591,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,3,Collections-3-buggy,add_test.java,org.apache.commons.collections.TestCollectionUtils,testRemoveAllWithEmptySecondCollection,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,4,0,0,0,4,0,0,0,37,0,7,1,37,0,7,1
Collections,3,Collections-3-buggy,add_test1.java,org.apache.commons.collections.TestCollectionUtils,testRemoveAllWithDuplicates,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,4,0,0,0,4,0,0,0,37,0,7,1,37,0,7,1
Collections,4,Collections-4-buggy,add_test.java,org.apache.commons.collections.map.TestMultiValueMap,testPutAllWithSet,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,5,Collections-5-buggy,add_test.java,org.apache.commons.collections.list.TestSetUniqueList,testAddAllAtIndexOneWithMixedElements,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,6,Collections-6-buggy,add_test.java,org.apache.commons.collections.map.TestFlat3Map,testRemoveMiddleAndFirst,Pass,Not Pass,Pass,Pass,80,0.2446,110,0.4721,8,0.1818,10,0.2941,59,327,8,44,139,247,16,36,153,233,18,34,263,123,28,24
Collections,6,Collections-6-buggy,add_test1.java,org.apache.commons.collections.map.TestFlat3Map,testRemoveNullKey,Pass,Not Pass,Pass,Pass,80,0.2446,110,0.4721,8,0.1818,10,0.2941,59,327,8,44,139,247,16,36,153,233,18,34,263,123,28,24
Collections,7,Collections-7-buggy,add_test.java,org.apache.commons.collections.TestExtendedProperties,testPutAllWithNonExtendedProperties,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,7,Collections-7-buggy,add_test1.java,org.apache.commons.collections.TestExtendedProperties,testPutAllWithExistingKey,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,8,Collections-8-buggy,add_test.java,org.apache.commons.collections.buffer.TestUnboundedFifoBuffer,testSerializationEmptyAfterRemovals,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,14,2,2,36,14,2,2,40,25,2,4,40,25,2,4
Collections,9,Collections-9-buggy,add_test.java,org.apache.commons.collections.TestExtendedProperties,testCombineMultipleValues,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,9,Collections-9-buggy,add_test1.java,org.apache.commons.collections.TestExtendedProperties,testCombinePreservesExisting,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,9,Collections-9-buggy,add_test2.java,org.apache.commons.collections.TestExtendedProperties,testCombineMultipleValuesWithBackslashes,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,11,Collections-11-buggy,add_test.java,org.apache.commons.collections.keyvalue.TestMultiKey,testHashCodeOrderSensitivity,Not Pass,Not Pass,Pass,Pass,0,0.0000,1,1.0000,1,1.0000,1,1.0000,25,0,3,1,25,0,4,0,28,1,3,1,29,0,4,0
Collections,11,Collections-11-buggy,add_test1.java,org.apache.commons.collections.keyvalue.TestMultiKey,testHashCodeWithNullKeys,Not Pass,Not Pass,Pass,Pass,0,0.0000,1,1.0000,1,1.0000,1,1.0000,25,0,3,1,25,0,4,0,28,1,3,1,29,0,4,0
Collections,12,Collections-12-buggy,add_test.java,org.apache.commons.collections.TestExtendedProperties,testCombineOverwrite,Not Pass,Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,19,0,2,0,19,0,2,0,19,0,2,0,19,0,2,0
