project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Csv,1,Csv-1-buggy,add_test.java,org.apache.commons.csv.CSVParserTest,testGetLineNumberWithCRAtEOF,Not Pass,Not Pass,Pass,Pass,6,1.0000,0,0.0000,1,1.0000,1,0.5000,12,6,1,1,18,0,2,0,32,7,4,2,32,7,5,1
Csv,1,Csv-1-buggy,add_test1.java,org.apache.commons.csv.CSVParserTest,testGetLineNumberWithCRLFAndLineSeparatorCR,Not Pass,Pass,Pass,Pass,6,1.0000,0,0.0000,1,1.0000,1,0.5000,12,6,1,1,18,0,2,0,32,7,4,2,32,7,5,1
Csv,2,Csv-2-buggy,add_test.java,org.apache.commons.csv.CSVRecordTest,testGetStringNegativeIndex,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,2,Csv-2-buggy,add_test1.java,org.apache.commons.csv.CSVRecordTest,testGetStringIndexEqualsLength,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,3,Csv-3-buggy,add_test.java,org.apache.commons.csv.CSVLexerTest,testEscapedDigit,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,10,15,2,6,10,15,2,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,4,Csv-4-buggy,add_test.java,org.apache.commons.csv.CSVParserTest,testNoHeaderMapWithTDF,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,6,0,0,0,6,0,0,5,6,1,1,5,6,1,1
Csv,5,Csv-5-buggy,add_test.java,org.apache.commons.csv.CSVFormatTest,testPrintlnWithNullRecordSeparator,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,6,Csv-6-buggy,add_test.java,org.apache.commons.csv.CSVRecordTest,testToMapWithSingleValueAndThreeHeaders,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,27,2,1,1,27,2,1,1,41,0,4,0,41,0,4,0
Csv,7,Csv-7-buggy,add_test.java,org.apache.commons.csv.CSVParserTest,testDuplicateHeaderEntriesExplicit,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,46,9,6,6,46,9,6,6,52,9,8,6,52,9,8,6
Csv,7,Csv-7-buggy,add_test1.java,org.apache.commons.csv.CSVParserTest,testDuplicateHeaderEntriesExplicitSkip,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,46,9,6,6,46,9,6,6,52,9,8,6,52,9,8,6
Csv,8,Csv-8-buggy,add_test.java,org.apache.commons.csv.CSVFormatTest,testDuplicateHeaderElementsCaseInsensitive,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,8,Csv-8-buggy,add_test1.java,org.apache.commons.csv.CSVFormatTest,testDuplicateHeaderWithNoEscape,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
