project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Gson,1,Gson-1-buggy,add_test.java,com.google.gson.functional.TypeVariableTest,testGenericArrayType,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,1,Gson-1-buggy,add_test1.java,com.google.gson.functional.TypeVariableTest,testWildcardType,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,2,Gson-2-buggy,add_test.java,com.google.gson.functional.DefaultTypeAdaptersTest,testTypeHierarchyFactoryDoesNotMatchSubclass,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,3,Gson-3-buggy,add_test.java,com.google.gson.functional.MapTest,testConcurrentMapWithStringKeys,Not Compilable,Not Pass,Not Compilable,Pass,15,0.0974,Not Compilable,Not Compilable,2,0.1250,Not Compilable,Not Compilable,55,154,6,16,70,139,8,14,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,3,Gson-3-buggy,add_test1.java,com.google.gson.functional.MapTest,testRawConcurrentMap,Not Compilable,Not Pass,Not Compilable,Pass,15,0.0974,Not Compilable,Not Compilable,2,0.1250,Not Compilable,Not Compilable,55,154,6,16,70,139,8,14,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,4,Gson-4-buggy,add_test.java,com.google.gson.stream.JsonReaderTest,testEmptyArray,Not Compilable,Not Pass,Not Compilable,Pass,96,0.1943,Not Compilable,Not Compilable,20,0.2128,Not Compilable,Not Compilable,69,494,12,94,165,398,32,74,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,4,Gson-4-buggy,add_test1.java,com.google.gson.stream.JsonReaderTest,testEmptyObject,Not Compilable,Pass,Not Compilable,Pass,96,0.1943,Not Compilable,Not Compilable,20,0.2128,Not Compilable,Not Compilable,69,494,12,94,165,398,32,74,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,4,Gson-4-buggy,add_test2.java,com.google.gson.stream.JsonReaderTest,testEmptyArrayWithTrailingComma,Not Compilable,Not Pass,Not Compilable,Pass,96,0.1943,Not Compilable,Not Compilable,20,0.2128,Not Compilable,Not Compilable,69,494,12,94,165,398,32,74,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,5,Gson-5-buggy,add_test.java,com.google.gson.DefaultDateTypeAdapterTest,testDateDeserializationISO8601NegativeOffsetNoMinutes,Pass,Not Pass,Not Pass,Pass,3,0.0385,3,0.0208,2,0.0833,2,0.0714,313,78,29,24,316,75,31,22,265,144,27,28,268,141,29,26
Gson,5,Gson-5-buggy,add_test1.java,com.google.gson.DefaultDateTypeAdapterTest,testDateDeserializationISO8601ZeroOffsetNoMinutes,Pass,Not Pass,Pass,Pass,3,0.0385,3,0.0208,2,0.0833,2,0.0714,313,78,29,24,316,75,31,22,265,144,27,28,268,141,29,26
Gson,6,Gson-6-buggy,add_test.java,com.google.gson.regression.JsonAdapterNullSafeTest,testJsonAdapterFactoryReturnsNullThrows,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,7,Gson-7-buggy,add_test.java,com.google.gson.stream.JsonReaderTest,testNextLongWithLargeLong,Not Pass,Pass,Pass,Pass,20,0.0660,20,0.0580,2,0.1000,2,0.1000,90,303,10,20,110,283,12,18,90,345,10,20,110,325,12,18
Gson,7,Gson-7-buggy,add_test1.java,com.google.gson.functional.MapTest,testMapDeserializationWithLargeLongKey,Not Pass,Not Pass,Not Pass,Pass,20,0.0660,20,0.0580,2,0.1000,2,0.1000,90,303,10,20,110,283,12,18,90,345,10,20,110,325,12,18
Gson,8,Gson-8-buggy,add_test.java,com.google.gson.internal.UnsafeAllocatorInstantiationTest,testAbstractClassInstantiationMessage,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,8,Gson-8-buggy,add_test1.java,com.google.gson.internal.UnsafeAllocatorInstantiationTest,testInterfaceInstantiationMessage,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,9,Gson-9-buggy,add_test.java,com.google.gson.stream.JsonWriterTest,testBoxedBooleanObjectNull,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,14,58,2,12,14,58,2,12,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,9,Gson-9-buggy,add_test1.java,com.google.gson.stream.JsonWriterTest,testBoxedBooleanInArrayWithNull,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,14,58,2,12,14,58,2,12,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,10,Gson-10-buggy,add_test.java,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest,write,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,101,24,5,9,101,24,5,9,114,21,7,9,114,21,7,9
Gson,10,Gson-10-buggy,add_test1.java,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest,write,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,101,24,5,9,101,24,5,9,114,21,7,9,114,21,7,9
Gson,11,Gson-11-buggy,add_test.java,com.google.gson.functional.PrimitiveTest,testNumberAsStringDeserializationVariousFormats,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,11,Gson-11-buggy,add_test1.java,com.google.gson.functional.PrimitiveTest,testNumberAsStringDeserializationInvalidString,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,12,Gson-12-buggy,add_test.java,com.google.gson.internal.bind.JsonTreeReaderTest,testSkipValue_emptyJsonArray,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,12,Gson-12-buggy,add_test1.java,com.google.gson.internal.bind.JsonTreeReaderTest,testSkipValue_jsonPrimitive,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,13,Gson-13-buggy,add_test.java,com.google.gson.stream.JsonReaderTest,testNegativeZeroDouble,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,13,Gson-13-buggy,add_test1.java,com.google.gson.stream.JsonReaderTest,testNegativeZeroFloat,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,14,Gson-14-buggy,add_test.java,com.google.gson.internal.bind.RecursiveTypesResolveTest,testTripleNested,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,0,0,0,31,0,0,0,65,0,6,0,65,0,6,0
