project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jsoup,1,Jsoup-1-buggy,add_test.java,org.jsoup.parser.ParserTest,normaliseMovesLeadingTextNode,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,7,1,58,0,7,1,52,0,7,1,52,0,7,1
Jsoup,1,Jsoup-1-buggy,add_test1.java,org.jsoup.parser.ParserTest,normaliseMovesMultipleTextNodesAroundElements,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,7,1,58,0,7,1,52,0,7,1,52,0,7,1
Jsoup,2,Jsoup-2-buggy,add_test.java,org.jsoup.parser.ParserTest,handlesTextAfterTitle,Not Pass,Not Pass,Not Pass,Pass,6,0.1395,6,0.1395,2,0.1667,2,0.1667,107,43,8,12,113,37,10,10,111,43,8,12,117,37,10,10
Jsoup,2,Jsoup-2-buggy,add_test1.java,org.jsoup.parser.ParserTest,handlesTextAfterStyle,Not Pass,Not Pass,Not Pass,Pass,6,0.1395,6,0.1395,2,0.1667,2,0.1667,107,43,8,12,113,37,10,10,111,43,8,12,117,37,10,10
Jsoup,2,Jsoup-2-buggy,add_test2.java,org.jsoup.parser.ParserTest,handlesTextAfterTextarea,Not Pass,Not Pass,Not Pass,Pass,6,0.1395,6,0.1395,2,0.1667,2,0.1667,107,43,8,12,113,37,10,10,111,43,8,12,117,37,10,10
Jsoup,3,Jsoup-3-buggy,add_test.java,org.jsoup.nodes.ElementTest,testAppendMultipleRowsToTable,Not Pass,Not Pass,Pass,Pass,18,0.1364,18,0.1216,1,0.0238,1,0.0208,289,132,38,42,307,114,39,41,385,148,52,48,403,130,53,47
Jsoup,3,Jsoup-3-buggy,add_test1.java,org.jsoup.nodes.ElementTest,testWrapWithNoElement,Not Pass,Not Pass,Pass,Pass,18,0.1364,18,0.1216,1,0.0238,1,0.0208,289,132,38,42,307,114,39,41,385,148,52,48,403,130,53,47
Jsoup,4,Jsoup-4-buggy,add_test.java,org.jsoup.nodes.EntitiesTest,unescapeSupplementaryCharacter,Not Pass,Not Pass,Pass,Pass,59,0.6629,71,0.7802,6,0.4286,8,0.5714,0,89,0,14,59,30,6,8,0,91,0,14,71,20,8,6
Jsoup,4,Jsoup-4-buggy,add_test1.java,org.jsoup.nodes.EntitiesTest,unescapeInvalidCodePoint,Not Pass,Not Pass,Pass,Pass,59,0.6629,71,0.7802,6,0.4286,8,0.5714,0,89,0,14,59,30,6,8,0,91,0,14,71,20,8,6
Jsoup,5,Jsoup-5-buggy,add_test.java,org.jsoup.parser.ParserTest,parsesEmptyKeyAttributesWithQuotes,Not Compilable,Pass,Not Compilable,Pass,12,1.0000,Not Compilable,Not Compilable,2,0.6667,Not Compilable,Not Compilable,90,12,11,3,102,0,13,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,6,Jsoup-6-buggy,add_test.java,org.jsoup.nodes.EntitiesTest,supplementaryAndInvalidNumericEntities,Not Pass,Not Pass,Not Pass,Pass,2,0.5000,2,0.5000,1,0.5000,1,1.0000,84,4,12,2,86,2,13,1,92,4,11,1,94,2,12,0
Jsoup,7,Jsoup-7-buggy,add_test.java,org.jsoup.nodes.DocumentTest,testNormalisesNonMetadataElementsInHead,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,52,46,7,7,52,46,7,7,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,8,Jsoup-8-buggy,add_test.java,org.jsoup.nodes.ElementTest,newlyCreatedElementToString,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,8,Jsoup-8-buggy,add_test1.java,org.jsoup.nodes.ElementTest,detachedTextNodeToString,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,10,Jsoup-10-buggy,add_test.java,org.jsoup.nodes.NodeTest,absHandlesRelativeQueryOnBaseWithoutQuery,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,14,1,1,26,14,1,1,55,16,5,3,55,16,5,3
Jsoup,10,Jsoup-10-buggy,add_test1.java,org.jsoup.nodes.NodeTest,absHandlesRelativeQueryOnBaseWithQueryAndFragment,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,14,1,1,26,14,1,1,55,16,5,3,55,16,5,3
Jsoup,11,Jsoup-11-buggy,add_test.java,org.jsoup.select.SelectorTest,commaInsideHas,Not Pass,Pass,Pass,Pass,3,0.0333,3,0.0261,1,0.0556,1,0.0294,194,90,30,18,197,87,31,17,239,115,40,34,242,112,41,33
Jsoup,11,Jsoup-11-buggy,add_test1.java,org.jsoup.select.SelectorTest,commaInsideAttribute,Not Pass,Not Pass,Not Pass,Pass,3,0.0333,3,0.0261,1,0.0556,1,0.0294,194,90,30,18,197,87,31,17,239,115,40,34,242,112,41,33
Jsoup,12,Jsoup-12-buggy,add_test.java,org.jsoup.select.SelectorTest,testChildCombinatorWithAttrContainingGt,Not Compilable,Not Pass,Not Compilable,Pass,27,0.6923,Not Compilable,Not Compilable,2,0.6667,Not Compilable,Not Compilable,39,39,5,3,66,12,7,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,12,Jsoup-12-buggy,add_test1.java,org.jsoup.select.SelectorTest,testAdjacentSiblingCombinatorWithAttrContainingPlus,Not Compilable,Not Pass,Not Compilable,Pass,27,0.6923,Not Compilable,Not Compilable,2,0.6667,Not Compilable,Not Compilable,39,39,5,3,66,12,7,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,12,Jsoup-12-buggy,add_test2.java,org.jsoup.select.SelectorTest,testGeneralSiblingCombinatorWithAttrContainingTilde,Not Compilable,Not Pass,Not Compilable,Pass,27,0.6923,Not Compilable,Not Compilable,2,0.6667,Not Compilable,Not Compilable,39,39,5,3,66,12,7,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,13,Jsoup-13-buggy,add_test.java,org.jsoup.nodes.NodeTest,hasAbsAttrVarious,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,7,0,0,0,7,0,0,0,20,0,4,0,20,0,4,0
Jsoup,14,Jsoup-14-buggy,add_test.java,org.jsoup.parser.ParserTest,handlesMixedCaseTitle,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,25,0,2,0,25,0,2,0,25,0,2,0,25,0,2,0
Jsoup,14,Jsoup-14-buggy,add_test1.java,org.jsoup.parser.ParserTest,handlesMixedCaseTextarea,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,25,0,2,0,25,0,2,0,25,0,2,0,25,0,2,0
Jsoup,15,Jsoup-15-buggy,add_test.java,org.jsoup.parser.ParserTest,handlesScriptInParagraph,Pass,Pass,Pass,Pass,16,0.0110,16,0.0083,3,0.0136,3,0.0115,800,1458,59,221,816,1442,62,218,338,1924,20,260,354,1908,23,257
Jsoup,15,Jsoup-15-buggy,add_test1.java,org.jsoup.parser.ParserTest,handlesScriptWithAttributes,Pass,Pass,Pass,Pass,16,0.0110,16,0.0083,3,0.0136,3,0.0115,800,1458,59,221,816,1442,62,218,338,1924,20,260,354,1908,23,257
Jsoup,15,Jsoup-15-buggy,add_test2.java,org.jsoup.parser.ParserTest,handlesScriptInDiv,Pass,Pass,Pass,Pass,16,0.0110,16,0.0083,3,0.0136,3,0.0115,800,1458,59,221,816,1442,62,218,338,1924,20,260,354,1908,23,257
Jsoup,16,Jsoup-16-buggy,add_test.java,org.jsoup.nodes.DocumentTypeTest,constructorValidationThrowsExceptionOnNullName,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,4,0,58,0,4,0,70,0,6,0,70,0,6,0
Jsoup,16,Jsoup-16-buggy,add_test1.java,org.jsoup.nodes.DocumentTypeTest,outerHtmlNameNotHtmlNoIds,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,4,0,58,0,4,0,70,0,6,0,70,0,6,0
Jsoup,16,Jsoup-16-buggy,add_test2.java,org.jsoup.nodes.DocumentTypeTest,outerHtmlNameNotHtmlPublicOnly,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,4,0,58,0,4,0,70,0,6,0,70,0,6,0
Jsoup,16,Jsoup-16-buggy,add_test3.java,org.jsoup.nodes.DocumentTypeTest,outerHtmlNameNotHtmlSystemOnly,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,4,0,58,0,4,0,70,0,6,0,70,0,6,0
Jsoup,18,Jsoup-18-buggy,add_test.java,org.jsoup.parser.CharacterReaderTest,consumeToEndEmptyInput,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,30,0,0,0,30,0,0,0,25,0,0,0,25,0,0,0
Jsoup,18,Jsoup-18-buggy,add_test1.java,org.jsoup.parser.CharacterReaderTest,consumeToEndSingleChar,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,30,0,0,0,30,0,0,0,25,0,0,0,25,0,0,0
Jsoup,19,Jsoup-19-buggy,add_test.java,org.jsoup.safety.CleanerTest,handlesCustomProtocolsWithPreserveRelativeLinks,Pass,Not Pass,Not Pass,Pass,33,0.0638,33,0.0635,4,0.1667,3,0.1250,636,517,28,24,669,484,32,20,640,520,30,24,673,487,33,21
Jsoup,19,Jsoup-19-buggy,add_test1.java,org.jsoup.safety.CleanerTest,handlesCustomProtocolsOnCustomTag,Pass,Not Pass,Not Pass,Pass,33,0.0638,33,0.0635,4,0.1667,3,0.1250,636,517,28,24,669,484,32,20,640,520,30,24,673,487,33,21
Jsoup,20,Jsoup-20-buggy,add_test.java,org.jsoup.helper.DataUtilTest,discardsSpuriousByteOrderMarkWhenCharsetNullNoMeta,Pass,Not Pass,Pass,Pass,36,0.6667,48,0.6154,8,0.6667,10,0.4545,27,54,2,12,63,18,10,4,39,78,4,22,87,30,14,12
Jsoup,20,Jsoup-20-buggy,add_test1.java,org.jsoup.helper.DataUtilTest,discardsSpuriousByteOrderMarkWhenCharsetNullWithMetaUTF8,Pass,Not Pass,Pass,Pass,36,0.6667,48,0.6154,8,0.6667,10,0.4545,27,54,2,12,63,18,10,4,39,78,4,22,87,30,14,12
Jsoup,21,Jsoup-21-buggy,add_test.java,org.jsoup.select.SelectorTest,testMultipleEvaluatorsInOr,Not Pass,Pass,Pass,Pass,13,0.1287,10,0.1020,3,0.2727,3,0.2727,165,101,15,11,178,88,18,8,180,98,15,11,190,88,18,8
Jsoup,22,Jsoup-22-buggy,add_test.java,org.jsoup.nodes.ElementTest,testSiblingElementsForAllChildren,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,16,73,0,6,16,73,0,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,22,Jsoup-22-buggy,add_test1.java,org.jsoup.nodes.NodeTest,testSiblingNodesForAllChildren,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,16,73,0,6,16,73,0,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,23,Jsoup-23-buggy,add_test.java,org.jsoup.nodes.EntitiesTest,digitEntityWithoutSemicolon,Pass,Not Pass,Pass,Pass,0,0.0000,15,0.1027,0,0.0000,2,0.0513,143,124,22,34,143,124,22,34,127,146,21,39,142,131,23,37
Jsoup,23,Jsoup-23-buggy,add_test1.java,org.jsoup.nodes.EntitiesTest,invalidDigitEntityWithPrefix,Pass,Not Pass,Pass,Pass,0,0.0000,15,0.1027,0,0.0000,2,0.0513,143,124,22,34,143,124,22,34,127,146,21,39,142,131,23,37
Jsoup,24,Jsoup-24-buggy,add_test.java,org.jsoup.parser.HtmlParserTest,simpleStartTag,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,24,Jsoup-24-buggy,add_test1.java,org.jsoup.parser.HtmlParserTest,startTagWithAttribute,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,24,Jsoup-24-buggy,add_test2.java,org.jsoup.parser.HtmlParserTest,selfClosingTag,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
