project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Lang,1,Lang-1-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexNegativeAndHash,Pass,Not Pass,Not Pass,Pass,2,0.0059,2,0.0057,1,0.0118,1,0.0110,74,338,7,85,76,336,8,84,71,350,5,91,73,348,6,90
Lang,3,Lang-3-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberInvalidBothExponentMarkers,Not Pass,Pass,Pass,Pass,31,0.1250,72,0.2915,7,0.1014,11,0.1594,158,248,19,69,189,217,26,62,161,247,21,69,233,175,32,58
Lang,3,Lang-3-buggy,add_test1.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberInvalidBothExponentMarkersWithSuffix,Not Pass,Pass,Pass,Pass,31,0.1250,72,0.2915,7,0.1014,11,0.1594,158,248,19,69,189,217,26,62,161,247,21,69,233,175,32,58
Lang,4,Lang-4-buggy,add_test.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLookupTranslatorGreedy,Pass,Not Pass,Pass,Pass,5,0.4545,5,0.5556,3,0.6000,3,0.5000,96,11,9,5,101,6,12,2,100,9,8,6,105,4,11,3
Lang,4,Lang-4-buggy,add_test1.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLookupTranslatorMaxReduction,Pass,Not Pass,Pass,Pass,5,0.4545,5,0.5556,3,0.6000,3,0.5000,96,11,9,5,101,6,12,2,100,9,8,6,105,4,11,3
Lang,5,Lang-5-buggy,add_test.java,org.apache.commons.lang3.LocaleUtilsTest,testUnderscoreWithNumericVariant,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,160,3,23,31,160,3,23,112,179,15,25,112,179,15,25
Lang,6,Lang-6-buggy,add_test.java,org.apache.commons.lang3.StringUtilsTest,testTranslateSurrogatePairConsumed,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,6,Lang-6-buggy,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testTranslateSurrogatePairFollowedByChar,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,7,Lang-7-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberAdditional,Not Pass,Not Pass,Pass,Pass,6,0.0723,14,0.1573,2,0.0625,2,0.0625,299,83,64,32,305,77,66,30,314,89,68,32,328,75,70,30
Lang,8,Lang-8-buggy,add_test.java,org.apache.commons.lang3.time.FastDatePrinterTest,testNonDSTTimezone,Not Pass,Not Pass,Pass,Pass,12,1.0000,15,1.0000,1,0.5000,2,0.6667,46,12,2,2,58,0,3,1,43,15,1,3,58,0,3,1
