project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Math,1,Math-1-buggy,add_test.java,org.apache.commons.math3.fraction.BigFractionTest,testDigitLimitConstructor,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,1,Math-1-buggy,add_test1.java,org.apache.commons.math3.fraction.FractionTest,testDigitLimitConstructor,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,2,Math-2-buggy,add_test.java,org.apache.commons.math3.distribution.HypergeometricDistributionTest,testGetNumericalMeanOverflow,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,11,0,0,0,11,0,0,0,12,0,0,0,12,0,0,0
Math,3,Math-3-buggy,add_test.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithEmptyArray,Pass,Not Pass,Pass,Pass,0,0.0000,21,0.1707,0,0.0000,4,0.3333,85,102,2,8,85,102,2,8,101,123,6,12,122,102,10,8
Math,3,Math-3-buggy,add_test1.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayNaN,Pass,Not Pass,Pass,Pass,0,0.0000,21,0.1707,0,0.0000,4,0.3333,85,102,2,8,85,102,2,8,101,123,6,12,122,102,10,8
Math,3,Math-3-buggy,add_test2.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayInfinity,Pass,Not Pass,Pass,Pass,0,0.0000,21,0.1707,0,0.0000,4,0.3333,85,102,2,8,85,102,2,8,101,123,6,12,122,102,10,8
Math,4,Math-4-buggy,add_test.java,org.apache.commons.math3.geometry.euclidean.twod.SubLineTest,testIntersectionVarious,Pass,Not Pass,Pass,Pass,138,1.0000,130,1.0000,29,0.8056,33,0.8250,26,138,0,36,164,0,29,7,34,130,4,40,164,0,37,7
Math,4,Math-4-buggy,add_test1.java,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,testIntersectionVarious,Pass,Not Pass,Pass,Pass,138,1.0000,130,1.0000,29,0.8056,33,0.8250,26,138,0,36,164,0,29,7,34,130,4,40,164,0,37,7
Math,5,Math-5-buggy,add_test.java,org.apache.commons.math3.complex.ComplexTest,testReciprocalVarious,Pass,Not Pass,Pass,Pass,7,0.1111,63,1.0000,3,0.4286,6,0.8571,15,63,3,7,22,56,6,4,15,63,3,7,78,0,9,1
Math,6,Math-6-buggy,add_test.java,org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest,testStationaryPoint,Not Pass,Pass,Pass,Pass,5,0.0058,0,0.0000,1,0.0073,0,0.0000,1966,860,176,137,1971,855,177,136,1972,869,178,137,1972,869,178,137
