project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jacksoncore,1,JacksonCore-1-buggy_ind1,add_test.java,com.fasterxml.jackson.core.json.TestParserNonStandard,testDecimalWithResultArray,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,1,JacksonCore-1-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.TestParserNonStandard,testDecimalWithSegments,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,2,JacksonCore-2-buggy_ind1,add_test.java,com.fasterxml.jackson.core.json.TestParserErrorHandling,testLeadingZeroFractionBytes,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,2,JacksonCore-2-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.TestParserErrorHandling,testLeadingZeroFractionChars,Not Pass,Pass,Pass,Pass,152,0.1564,163,0.1584,22,0.1019,23,0.1027,199,972,24,216,351,820,46,194,199,1029,24,224,362,866,47,201
Jacksoncore,3,JacksonCore-3-buggy,add_test.java,com.fasterxml.jackson.core.json.TestLocation,testOffsetWithInputOffsetAndNewline,Not Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,26,0,0,0,,,,,29,0,0,0
Jacksoncore,4,JacksonCore-4-buggy,add_test.java,com.fasterxml.jackson.core.util.TestTextBuffer,testExpandAboveMax,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,26,0,2,0,,,,,31,0,2,0
Jacksoncore,5,JacksonCore-5-buggy_ind1,add_test.java,com.fasterxml.jackson.core.TestJsonPointer,testNonDigitOddIndexLength2,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,29,16,7,7,29,16,7,7,27,17,6,8,27,17,6,8
Jacksoncore,5,JacksonCore-5-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.TestJsonPointer,testNonDigitOddIndexLength10,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,1,0.1429,0,0.0000,29,16,7,7,29,16,8,6,27,17,6,8,27,17,6,8
Jacksoncore,6,JacksonCore-6-buggy_ind1,add_test.java,com.fasterxml.jackson.core.TestJsonPointer,testLeadingZeroThreeDigit,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,13,7,7,31,13,7,7,41,13,10,8,41,13,10,8
Jacksoncore,6,JacksonCore-6-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.TestJsonPointer,testLeadingZeroTenDigits,Pass,Not Pass,Pass,Pass,7,0.5385,0,0.0000,2,0.2857,0,0.0000,31,13,7,7,38,6,9,5,41,13,10,8,41,13,10,8
Jacksoncore,7,JacksonCore-7-buggy_ind1,add_test.java,com.fasterxml.jackson.core.json.GeneratorFailTest,testWriteObjectWithTwoFields,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,7,JacksonCore-7-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.GeneratorFailTest,testWriteRootValueNoLeadingSpace,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,8,JacksonCore-8-buggy,add_test.java,com.fasterxml.jackson.core.util.TestTextBuffer,testGetTextBufferAfterReleaseBuffers,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,15,16,4,4,,,,,25,12,6,4
Jacksoncore,9,JacksonCore-9-buggy_ind1,add_test.java,com.fasterxml.jackson.core.json.TestJsonParser,testGetValueAsStringLargeString,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,9,JacksonCore-9-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.json.TestJsonParser,testGetValueAsStringWithDefaultValue,Not Pass,Pass,Pass,Pass,8,0.0964,8,0.0920,1,0.0500,1,0.0500,33,83,6,20,41,75,7,19,33,87,6,20,41,79,7,19
