project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Lang,1,Lang-1-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexNegativeAndHash,Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,76,336,8,84,,,,,73,348,6,90
Lang,3,Lang-3-buggy_ind1,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberInvalidBothExponentMarkers,Not Pass,Pass,Pass,Pass,19,0.0766,19,0.0769,6,0.0870,5,0.0725,158,248,19,69,177,229,25,63,161,247,21,69,180,228,26,64
Lang,3,Lang-3-buggy_ind2,add_test1.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberInvalidBothExponentMarkersWithSuffix,Not Pass,Pass,Pass,Pass,12,0.0484,53,0.2146,1,0.0145,6,0.0870,158,248,19,69,170,236,20,68,161,247,21,69,214,194,27,63
Lang,4,Lang-4-buggy_ind1,add_test.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLookupTranslatorGreedy,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,1,0.2000,1,0.1667,96,11,9,5,96,11,10,4,100,9,8,6,100,9,9,5
Lang,4,Lang-4-buggy_ind2,add_test1.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLookupTranslatorMaxReduction,Pass,Not Pass,Pass,Pass,5,0.4545,5,0.5556,2,0.4000,2,0.3333,96,11,9,5,101,6,11,3,100,9,8,6,105,4,10,4
Lang,5,Lang-5-buggy,add_test.java,org.apache.commons.lang3.LocaleUtilsTest,testUnderscoreWithNumericVariant,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,31,160,3,23,,,,,112,179,15,25
Lang,6,Lang-6-buggy_ind1,add_test.java,org.apache.commons.lang3.StringUtilsTest,testTranslateSurrogatePairConsumed,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,6,Lang-6-buggy_ind2,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testTranslateSurrogatePairFollowedByChar,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,7,Lang-7-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberAdditional,Not Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,305,77,66,30,,,,,328,75,70,30
Lang,8,Lang-8-buggy_ind1,add_test.java,org.apache.commons.lang3.time.FastDatePrinterTest,testNonDSTTimezone,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,46,12,2,2,46,12,2,2,43,15,1,3,43,15,1,3
Lang,8,Lang-8-buggy_ind2,add_test1.java,org.apache.commons.lang3.time.FastDatePrinterTest,testDSTTimezoneInDST,Not Pass,Not Pass,Pass,Pass,12,1.0000,15,1.0000,1,0.5000,2,0.6667,46,12,2,2,58,0,3,1,43,15,1,3,58,0,3,1
Lang,9,Lang-9-buggy,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testUnterminatedQuoteAdditional,Not Pass,Pass,Pass,Pass,,,,,,,,,,,,,104,4,6,2,,,,,114,4,8,2
Lang,10,Lang-10-buggy,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831_quotes,Not Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,36,18,6,7,,,,,36,64,6,35
Lang,11,Lang-11-buggy,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807_CharsArrayValidation,Not Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,23,140,8,42,,,,,63,150,14,44
Lang,12,Lang-12-buggy_ind1,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testStartGreaterThanEnd,Pass,Not Pass,Pass,Pass,41,0.3694,14,0.1687,11,0.2973,4,0.1250,36,111,7,37,77,70,18,26,89,83,20,32,103,69,24,28
Lang,12,Lang-12-buggy_ind2,add_test1.java,org.apache.commons.lang3.RandomStringUtilsTest,testCharsArrayWithStartEndZero,Pass,Not Pass,Pass,Pass,4,0.0360,3,0.0361,1,0.0270,2,0.0625,36,111,7,37,40,107,8,36,89,83,20,32,92,80,22,30
Lang,13,Lang-13-buggy,add_test.java,org.apache.commons.lang3.SerializationUtilsTest,testCustomObjectWithPrimitiveClassField,Pass,Pass,Pass,Pass,,,,,,,,,,,,,11,27,0,2,,,,,64,28,17,3
