project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Math,1,Math-1-buggy_ind1,add_test.java,org.apache.commons.math3.fraction.BigFractionTest,testDigitLimitConstructor,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,1,Math-1-buggy_ind2,add_test1.java,org.apache.commons.math3.fraction.FractionTest,testDigitLimitConstructor,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,2,Math-2-buggy,add_test.java,org.apache.commons.math3.distribution.HypergeometricDistributionTest,testGetNumericalMeanOverflow,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,11,0,0,0,,,,,12,0,0,0
Math,3,Math-3-buggy_ind1,add_test.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithEmptyArray,Pass,Not Pass,Pass,Pass,0,0.0000,2,0.0163,0,0.0000,1,0.0833,85,102,2,8,85,102,2,8,101,123,6,12,103,121,7,11
Math,3,Math-3-buggy_ind2,add_test1.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayNaN,Pass,Not Pass,Pass,Pass,0,0.0000,19,0.1545,0,0.0000,3,0.2500,85,102,2,8,85,102,2,8,101,123,6,12,120,104,9,9
Math,3,Math-3-buggy_ind3,add_test2.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayInfinity,Pass,Not Pass,Pass,Pass,0,0.0000,19,0.1545,0,0.0000,3,0.2500,85,102,2,8,85,102,2,8,101,123,6,12,120,104,9,9
Math,4,Math-4-buggy_ind1,add_test.java,org.apache.commons.math3.geometry.euclidean.twod.SubLineTest,testIntersectionVarious,Pass,Not Pass,Pass,Pass,62,0.4493,62,0.4769,13,0.3611,15,0.3750,26,138,0,36,88,76,13,23,34,130,4,40,96,68,19,25
Math,4,Math-4-buggy_ind2,add_test1.java,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,testIntersectionVarious,Pass,Not Pass,Pass,Pass,76,0.5507,68,0.5231,16,0.4444,18,0.4500,26,138,0,36,102,62,16,20,34,130,4,40,102,62,22,22
Math,5,Math-5-buggy,add_test.java,org.apache.commons.math3.complex.ComplexTest,testReciprocalVarious,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,22,56,6,4,,,,,78,0,9,1
Math,6,Math-6-buggy,add_test.java,org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest,testStationaryPoint,Not Pass,Pass,Pass,Pass,,,,,,,,,,,,,1971,855,177,136,,,,,1972,869,178,137
Math,7,Math-7-buggy,add_test.java,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest,testSimultaneousEvents,Not Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,243,40,27,9,,,,,248,45,28,10
Math,8,Math-8-buggy_ind1,add_test.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testSampleWithDifferentClasses,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,16,16,2,2,16,16,2,2,63,12,13,5,63,12,13,5
Math,8,Math-8-buggy_ind2,add_test1.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testSampleWithCommonSuperclass,Pass,Not Pass,Pass,Not Compilable,0,0.0000,0,0.0000,0,0.0000,0,0.0000,16,16,2,2,16,16,2,2,63,12,13,5,63,12,13,5
Math,9,Math-9-buggy_ind1,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.LineTest,testRevertSimple,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,13,2,0,0,13,2,0,0,11,2,0,0,11,2,0,0
Math,9,Math-9-buggy_ind2,add_test1.java,org.apache.commons.math3.geometry.euclidean.threed.LineTest,testRevertGeneral,Not Pass,Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,13,2,0,0,13,2,0,0,11,2,0,0,11,2,0,0
Math,10,Math-10-buggy_ind1,add_test.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2NegativeXPositiveZeroY,Pass,Not Pass,Pass,Pass,57,0.9828,105,0.7143,4,0.8000,5,0.4167,87,58,3,5,144,1,7,1,45,147,6,12,150,42,11,7
Math,10,Math-10-buggy_ind2,add_test1.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2NegativeZeroXPositiveY,Pass,Not Pass,Not Pass,Pass,0,0.0000,105,0.7143,0,0.0000,5,0.4167,87,58,3,5,87,58,3,5,45,147,6,12,150,42,11,7
Math,10,Math-10-buggy_ind3,add_test2.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2BothPositiveInfinity,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,1,0.0833,87,58,3,5,87,58,3,5,45,147,6,12,45,147,7,11
Math,11,Math-11-buggy,add_test.java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testMultivariateOddDimension,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,23,7,1,1,,,,,23,7,1,1
Math,14,Math-14-buggy_ind1,add_test.java,org.apache.commons.math3.fitting.PolynomialFitterTest,testZeroWeight,Not Pass,Not Pass,Pass,Pass,26,0.6667,66,0.9041,2,0.5000,4,0.6667,5,39,0,4,31,13,2,2,5,73,0,6,71,7,4,2
Math,14,Math-14-buggy_ind2,add_test1.java,org.apache.commons.math3.fitting.PolynomialFitterTest,testTinyWeight,Not Pass,Pass,Pass,Pass,29,0.7436,66,0.9041,2,0.5000,4,0.6667,5,39,0,4,34,10,2,2,5,73,0,6,71,7,4,2
