project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Mockito,1,Mockito-1-buggy_ind1,add_test.java,org.mockito.internal.invocation.InvocationMatcherTest,should_capture_arguments_for_varargs_with_multiple_elements,Pass,Pass,Pass,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,1,Mockito-1-buggy_ind2,add_test1.java,org.mockito.internal.invocation.InvocationMatcherTest,should_capture_arguments_for_varargs_with_null_array,Pass,Pass,Pass,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,2,Mockito-2-buggy,add_test.java,org.mockito.internal.util.TimerTest,should_throw_exception_with_message_when_duration_is_negative,Not Compilable,Not Pass,Not Compilable,Pass,,,Not Compilable,Not Compilable,,,Not Compilable,Not Compilable,,,,,6,4,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,3,Mockito-3-buggy_ind1,add_test.java,org.mockitousage.matchers.CapturingArgumentsTest,should_capture_nothing_when_vararg_is_null_or_empty,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,1,0.0909,62,25,8,6,62,25,8,6,116,25,17,11,116,25,18,10
Mockito,3,Mockito-3-buggy_ind2,add_test1.java,org.mockitousage.matchers.CapturingArgumentsTest,should_capture_vararg_elements_according_to_matcher_count,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,62,25,8,6,62,25,8,6,116,25,17,11,116,25,17,11
Mockito,3,Mockito-3-buggy_ind3,add_test2.java,org.mockitousage.matchers.CapturingArgumentsTest,should_capture_pure_varargs_with_multiple_matchers,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,62,25,8,6,62,25,8,6,116,25,17,11,116,25,17,11
Mockito,4,Mockito-4-buggy_ind1,add_test.java,org.mockito.exceptions.ReporterTest,noMoreInteractionsWanted_with_non_empty_invocations_and_bogus_default_answer,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,4,Mockito-4-buggy_ind2,add_test1.java,org.mockito.exceptions.ReporterTest,cannotInjectDependency_with_exception_having_null_cause,Not Compilable,Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,52,36,0,0,52,36,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,5,Mockito-5-buggy,add_test.java,org.mockitointegration.NoJUnitDependenciesTest,verificationOverTimeImpl_should_not_depend_on_JUnit,Not Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,0,37,0,6,,,,,0,31,0,6
Mockito,6,Mockito-6-buggy_ind1,add_test.java,org.mockitousage.matchers.AnyXMatchersAcceptNullsTest,shouldNotAcceptWrongTypeInAllAnyPrimitiveWrapperMatchers,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,60,23,0,0,60,23,0,0,102,38,0,0,102,38,0,0
Mockito,6,Mockito-6-buggy_ind2,add_test1.java,org.mockitousage.matchers.MatchersTest,anyMatcherShouldNotAcceptNull,Not Pass,Not Pass,Not Pass,Pass,7,0.3043,10,0.2632,0,0.0000,0,0.0000,60,23,0,0,67,16,0,0,102,38,0,0,112,28,0,0
Mockito,6,Mockito-6-buggy_ind3,add_test2.java,org.mockitousage.matchers.NewMatchersTest,shouldNotAcceptNullInAnyXOfMatchers,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,7,Mockito-7-buggy_ind1,add_test.java,org.mockitousage.bugs.deepstubs.DeepStubFailingWhenGenricNestedAsRawTypeTest,rawTypeWithSingleGenericMethod,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,28,0,2,0,28,0,2,0,32,0,4,0,32,0,4,0
Mockito,7,Mockito-7-buggy_ind2,add_test1.java,org.mockitousage.bugs.deepstubs.DeepStubFailingWhenGenricNestedAsRawTypeTest,rawTypeWithNestedGeneric,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,8,Mockito-8-buggy,add_test.java,org.mockito.internal.util.reflection.GenericMetadataSupportTest,wildcard_unbounded,Not Pass,Pass,Pass,Pass,,,,,,,,,,,,,51,0,6,0,,,,,60,1,8,2
Mockito,9,Mockito-9-buggy_ind1,add_test.java,org.mockitousage.constructor.CreatingMocksWithConstructorTest,testCallsRealInterfaceMethodInt,Pass,Not Pass,Pass,Pass,0,0.0000,18,0.3750,0,0.0000,6,0.3529,0,3,0,0,0,3,0,0,17,48,3,17,35,30,9,11
Mockito,9,Mockito-9-buggy_ind2,add_test1.java,org.mockitousage.constructor.CreatingMocksWithConstructorTest,testCallsRealInterfaceMethodBoolean,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,10,Mockito-10-buggy,add_test.java,org.mockitousage.bugs.DeepStubsWronglyReportsSerializationProblemsTest,should_not_raise_serialization_exception_for_deep_stub_with_extra_interfaces,Not Compilable,Pass,Not Compilable,Pass,,,Not Compilable,Not Compilable,,,Not Compilable,Not Compilable,,,,,45,20,2,4,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,11,Mockito-11-buggy_ind1,add_test.java,org.mockito.internal.creation.DelegatingMethodTest,equals_should_return_false_when_comparing_with_wrapped_method,Not Pass,Not Pass,Pass,Pass,0,0.0000,2,0.5000,0,0.0000,1,0.5000,5,2,0,0,5,2,0,0,21,4,4,2,23,2,5,1
Mockito,11,Mockito-11-buggy_ind2,add_test1.java,org.mockito.internal.creation.DelegatingMethodTest,hashCode_should_be_consistent_with_equals,Not Pass,Not Pass,Pass,Pass,0,0.0000,2,0.5000,0,0.0000,0,0.0000,5,2,0,0,5,2,0,0,21,4,4,2,23,2,4,2
Mockito,12,Mockito-12-buggy,add_test.java,org.mockito.internal.util.reflection.GenericMasterTest,shouldDealWithTypeVariable,Pass,Pass,Pass,Pass,,,,,,,,,,,,,19,0,3,1,,,,,30,2,6,2
Mockito,13,Mockito-13-buggy_ind1,add_test.java,org.mockitousage.bugs.VerifyingWithAnExtraCallToADifferentMockTest,shouldAllowVerifyingWhenOtherMockCallIsInTheSameLineWithDefaultAnswer,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,13,Mockito-13-buggy_ind2,add_test1.java,org.mockitousage.bugs.VerifyingWithAnExtraCallToADifferentMockTest,shouldAllowVerifyingWithTimesAndOtherMockCall,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,70,26,7,3,70,26,7,3,86,14,8,2,86,14,8,2
