project,bug_id,folder,result
Time,1,Time-1-buggy,Not Pass
Time,2,Time-2-buggy,Not Pass
Time,3,Time-3-buggy,Pass
Time,4,Time-4-buggy,Not Pass
Time,5,Time-5-buggy,Not Compilable
Time,6,Time-6-buggy,Not Compilable
Time,7,Time-7-buggy,Not Pass
Time,8,Time-8-buggy,Pass
Time,9,Time-9-buggy,Pass
Time,10,Time-10-buggy,Not Compilable
Time,11,Time-11-buggy,Not Pass
Time,12,Time-12-buggy,Pass
Time,13,Time-13-buggy,Pass
Time,14,Time-14-buggy,Not Compilable
Time,15,Time-15-buggy,Pass
Time,16,Time-16-buggy,Not Pass
Time,17,Time-17-buggy,Pass
Time,18,Time-18-buggy,Pass
Time,19,Time-19-buggy,Pass
Time,20,Time-20-buggy,Pass
Time,22,Time-22-buggy,Not Pass
Time,23,Time-23-buggy,Pass
Time,24,Time-24-buggy,Not Pass
Time,25,Time-25-buggy,Not Pass
Time,26,Time-26-buggy,Not Compilable
Time,27,Time-27-buggy,Not Pass
