project,bug_id,folder,class_entry,file,method_sig_snippet,fixed_method_start_line,fixed_method_end_line
Math,1,Math-1-buggy,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335
Math,1,Math-1-buggy,org.apache.commons.math3.fraction.Fraction,org/apache/commons/math3/fraction/Fraction.java,"private Fraction(double value, double epsilon, int maxDenominator, int maxIterations)",178,243
Math,1,Math-1-buggy_ind1,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335
Math,1,Math-1-buggy_ind1,org.apache.commons.math3.fraction.Fraction,org/apache/commons/math3/fraction/Fraction.java,"private Fraction(double value, double epsilon, int maxDenominator, int maxIterations)",178,243
Math,1,Math-1-buggy_ind2,org.apache.commons.math3.fraction.BigFraction,org/apache/commons/math3/fraction/BigFraction.java,"private BigFraction(final double value, final double epsilon, final int maxDenominator, int maxIterations)",269,335
Math,1,Math-1-buggy_ind2,org.apache.commons.math3.fraction.Fraction,org/apache/commons/math3/fraction/Fraction.java,"private Fraction(double value, double epsilon, int maxDenominator, int maxIterations)",178,243
Math,10,Math-10-buggy,org.apache.commons.math3.analysis.differentiation.DSCompiler,org/apache/commons/math3/analysis/differentiation/DSCompiler.java,"public void atan2(final double[] y, final int yOffset, final double[] x, final int xOffset, final double[] result, final int resultOffset) {",1382,1432
Math,10,Math-10-buggy_ind1,org.apache.commons.math3.analysis.differentiation.DSCompiler,org/apache/commons/math3/analysis/differentiation/DSCompiler.java,"public void atan2(final double[] y, final int yOffset, final double[] x, final int xOffset, final double[] result, final int resultOffset) {",1382,1432
Math,10,Math-10-buggy_ind2,org.apache.commons.math3.analysis.differentiation.DSCompiler,org/apache/commons/math3/analysis/differentiation/DSCompiler.java,"public void atan2(final double[] y, final int yOffset, final double[] x, final int xOffset, final double[] result, final int resultOffset) {",1382,1432
Math,10,Math-10-buggy_ind3,org.apache.commons.math3.analysis.differentiation.DSCompiler,org/apache/commons/math3/analysis/differentiation/DSCompiler.java,"public void atan2(final double[] y, final int yOffset, final double[] x, final int xOffset, final double[] result, final int resultOffset) {",1382,1432
Math,100,Math-100-buggy,org.apache.commons.math.estimation.AbstractEstimator,org/apache/commons/math/estimation/AbstractEstimator.java,public double[][] getCovariances(EstimationProblem problem),158,203
Math,100,Math-100-buggy,org.apache.commons.math.estimation.AbstractEstimator,org/apache/commons/math/estimation/AbstractEstimator.java,public double[] guessParametersErrors(EstimationProblem problem),214,230
Math,101,Math-101-buggy,org.apache.commons.math.complex.ComplexFormat,org/apache/commons/math/complex/ComplexFormat.java,"public Complex parse(String source, ParsePosition pos) {",320,389
Math,102,Math-102-buggy,org.apache.commons.math.stat.inference.ChiSquareTestImpl,org/apache/commons/math/stat/inference/ChiSquareTestImpl.java,"public double chiSquare(double[] expected, long[] observed)",64,94
Math,102,Math-102-buggy_ind1,org.apache.commons.math.stat.inference.ChiSquareTestImpl,org/apache/commons/math/stat/inference/ChiSquareTestImpl.java,"public double chiSquare(double[] expected, long[] observed)",64,94
Math,102,Math-102-buggy_ind2,org.apache.commons.math.stat.inference.ChiSquareTestImpl,org/apache/commons/math/stat/inference/ChiSquareTestImpl.java,"public double chiSquare(double[] expected, long[] observed)",64,94
Math,103,Math-103-buggy,org.apache.commons.math.distribution.NormalDistributionImpl,org/apache/commons/math/distribution/NormalDistributionImpl.java,public double cumulativeProbability(double x) throws MathException {,108,117
Math,103,Math-103-buggy_ind1,org.apache.commons.math.distribution.NormalDistributionImpl,org/apache/commons/math/distribution/NormalDistributionImpl.java,public double cumulativeProbability(double x) throws MathException {,108,117
Math,103,Math-103-buggy_ind2,org.apache.commons.math.distribution.NormalDistributionImpl,org/apache/commons/math/distribution/NormalDistributionImpl.java,public double cumulativeProbability(double x) throws MathException {,108,117
Math,105,Math-105-buggy,org.apache.commons.math.stat.regression.SimpleRegression,org/apache/commons/math/stat/regression/SimpleRegression.java,public double getSumSquaredErrors() {,263,265
Math,105,Math-105-buggy_ind1,org.apache.commons.math.stat.regression.SimpleRegression,org/apache/commons/math/stat/regression/SimpleRegression.java,public double getSumSquaredErrors() {,263,265
Math,105,Math-105-buggy_ind2,org.apache.commons.math.stat.regression.SimpleRegression,org/apache/commons/math/stat/regression/SimpleRegression.java,public double getSumSquaredErrors() {,263,265
Math,106,Math-106-buggy,org.apache.commons.math.fraction.ProperFractionFormat,org/apache/commons/math/fraction/ProperFractionFormat.java,"public Fraction parse(String source, ParsePosition pos) {",130,216
Math,106,Math-106-buggy_ind1,org.apache.commons.math.fraction.ProperFractionFormat,org/apache/commons/math/fraction/ProperFractionFormat.java,"public Fraction parse(String source, ParsePosition pos) {",130,216
Math,106,Math-106-buggy_ind2,org.apache.commons.math.fraction.ProperFractionFormat,org/apache/commons/math/fraction/ProperFractionFormat.java,"public Fraction parse(String source, ParsePosition pos) {",130,216
Math,11,Math-11-buggy,org.apache.commons.math3.distribution.MultivariateNormalDistribution,org/apache/commons/math3/distribution/MultivariateNormalDistribution.java,public double density(final double[] vals) throws DimensionMismatchException {,177,186
