project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jxpath,14,JxPath-14-buggy,function_1,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionFloor(EvalContext context) {,653,657,653,1,,,,,
Jxpath,14,JxPath-14-buggy,function_1,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionFloor(EvalContext context) {,653,657,654,2,3,0,0,0,True
Jxpath,14,JxPath-14-buggy,function_1,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionFloor(EvalContext context) {,653,657,655,3,6,0,0,0,True
Jxpath,14,JxPath-14-buggy,function_1,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionFloor(EvalContext context) {,653,657,656,4,6,0,0,0,True
Jxpath,14,JxPath-14-buggy,function_1,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionFloor(EvalContext context) {,653,657,657,5,,,,,
Jxpath,14,JxPath-14-buggy,function_2,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionCeiling(EvalContext context) {,659,663,659,1,,,,,
Jxpath,14,JxPath-14-buggy,function_2,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionCeiling(EvalContext context) {,659,663,660,2,3,0,0,0,True
Jxpath,14,JxPath-14-buggy,function_2,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionCeiling(EvalContext context) {,659,663,661,3,6,0,0,0,True
Jxpath,14,JxPath-14-buggy,function_2,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionCeiling(EvalContext context) {,659,663,662,4,6,0,0,0,True
Jxpath,14,JxPath-14-buggy,function_2,org.apache.commons.jxpath.ri.compiler.CoreFunction,org/apache/commons/jxpath/ri/compiler/CoreFunction.java,protected Object functionCeiling(EvalContext context) {,659,663,663,5,,,,,
