project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Closure,10,Closure-10-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1415,1,,,,,
Closure,10,Closure-10-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1416,2,2,0,1,1,True
Closure,10,Closure-10-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1417,3,4,0,0,0,True
Closure,10,Closure-10-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1418,4,,,,,
Closure,10,Closure-10-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1419,5,0,3,0,0,False
Closure,10,Closure-10-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1420,6,,,,,
Closure,10,Closure-10-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1421,7,,,,,
Closure,10,Closure-10-buggy_ind2,add_test1.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1415,1,,,,,
Closure,10,Closure-10-buggy_ind2,add_test1.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1416,2,2,0,1,1,True
Closure,10,Closure-10-buggy_ind2,add_test1.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1417,3,4,0,0,0,True
Closure,10,Closure-10-buggy_ind2,add_test1.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1418,4,,,,,
Closure,10,Closure-10-buggy_ind2,add_test1.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1419,5,0,3,0,0,False
Closure,10,Closure-10-buggy_ind2,add_test1.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1420,6,,,,,
Closure,10,Closure-10-buggy_ind2,add_test1.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1421,7,,,,,
Closure,10,Closure-10-buggy_ind3,add_test2.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1415,1,,,,,
Closure,10,Closure-10-buggy_ind3,add_test2.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1416,2,2,0,1,1,True
Closure,10,Closure-10-buggy_ind3,add_test2.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1417,3,4,0,0,0,True
Closure,10,Closure-10-buggy_ind3,add_test2.java,function_1,com.google.javascript.jscomp.NodeUtil,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1418,4,,,,,
