project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,56,1,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,57,2,2,0,0,0,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,58,3,4,0,0,0,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,59,4,2,0,0,0,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,60,5,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,61,6,2,0,1,1,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,62,7,0,2,0,0,False
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,63,8,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,64,9,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,65,10,2,0,0,0,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,66,11,7,0,1,1,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,67,12,4,0,2,0,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,68,13,2,0,0,0,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,69,14,1,0,0,0,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,70,15,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,71,16,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,72,17,2,0,1,1,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,73,18,0,2,0,0,False
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,74,19,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,75,20,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,76,21,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,77,22,3,0,1,1,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,78,23,5,0,1,1,True
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,79,24,0,2,0,0,False
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,80,25,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,81,26,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,82,27,,,,,
Compress,14,Compress-14-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.tar.TarUtils,org/apache/commons/compress/archivers/tar/TarUtils.java,"public static long parseOctal(final byte[] buffer, final int offset, final int length) {",56,107,83,28,,,,,
