project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,574,1,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,575,2,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,576,3,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,577,4,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,578,5,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,579,6,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,580,7,4,0,2,0,True
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,581,8,3,0,0,0,True
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,582,9,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,583,10,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,584,11,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,585,12,3,0,0,0,True
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,586,13,3,0,1,1,True
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,587,14,0,2,0,0,False
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,588,15,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,589,16,3,0,0,0,True
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,590,17,2,0,1,1,True
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,591,18,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,592,19,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,593,20,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,594,21,0,2,0,0,False
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,595,22,0,5,0,0,False
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,596,23,,,,,
Jacksoncore,12,JacksonCore-12-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,705,597,24,,,,,
