project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,556,1,,,,,
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,557,2,5,0,1,1,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,558,3,0,2,0,0,False
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,559,4,,,,,
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,560,5,2,0,0,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,561,6,4,0,0,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,562,7,4,0,0,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,563,8,4,0,0,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,564,9,2,0,2,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,565,10,4,0,2,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,566,11,3,0,0,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,567,12,3,0,0,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,568,13,6,6,1,3,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,569,14,9,1,2,2,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,570,15,4,0,2,2,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,571,16,1,0,0,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,572,17,,,,,
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,573,18,,,,,
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,574,19,4,0,0,0,True
Jxpath,19,JxPath-19-buggy_ind2,add_test1.java,function_1,org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,private int getRelativePositionByQName() {,556,577,575,20,,,,,
