project,bug_id,add_test_file,class_fqcn,method_name,result
Cli,1,add_test.java,org.apache.commons.cli.bug.BugCLI13Test,testCLI13WithHyphens,Pass
Cli,2,add_test.java,org.apache.commons.cli.bug.BugCLI51Test,testSingleDashArg,Pass
Cli,3,add_test.java,org.apache.commons.cli.PatternOptionBuilderTest,testInvalidNumberPattern,Pass
Cli,8,add_test.java,org.apache.commons.cli.HelpFormatterTest,testPrintWrapped,Pass
Cli,9,add_test.java,org.apache.commons.cli.OptionsTest,testMissingOptionsExceptionMultiple,Pass
Cli,10,add_test.java,org.apache.commons.cli.ParseRequiredTest,testReuseOptionsAcrossParsers,Pass
Cli,11,add_test.java,org.apache.commons.cli.HelpFormatterTest,testPrintOptionWithEmptyArgNameUsage,Not Compilable
Cli,12,add_test.java,org.apache.commons.cli.GnuParserTest,testPropertyWithEqualShort,Pass
Cli,14,add_test.java,org.apache.commons.cli2.bug.BugCLI144Test,testFileValidatorShortOption,Pass
Cli,15,add_test.java,org.apache.commons.cli2.bug.BugCLI158Test,testSingleOptionThreeArguments,Pass
Cli,17,add_test.java,org.apache.commons.cli.PosixParserTest,testStopBursting,Pass
Cli,18,add_test.java,org.apache.commons.cli.PosixParserTest,testStopAfterRecognizedOption,Pass
Cli,19,add_test.java,org.apache.commons.cli.PosixParserTest,testUnrecognizedLongOption,Pass
Cli,20,add_test.java,org.apache.commons.cli.PosixParserTest,testStop3,Pass
Cli,21,add_test.java,org.apache.commons.cli2.bug.BugCLI150Test,testNegativeNumberWithShortOption,Pass
Cli,22,add_test.java,org.apache.commons.cli.ApplicationTest,testGroovy,Pass
Cli,23,add_test.java,org.apache.commons.cli.bug.BugCLI162Test,testLongUnbreakableWordDoesNotThrow,Pass
Cli,26,add_test.java,org.apache.commons.cli.OptionBuilderTest,testBuilderIsResettedAlways,Pass
Cli,27,add_test.java,org.apache.commons.cli.ParserTestCase,testOptionGroupLongTwoOptions,Pass
Cli,30,add_test.java,org.apache.commons.cli.ParserTestCase,testPropertyOptionGroupConflict,Pass
Cli,31,add_test.java,org.apache.commons.cli.HelpFormatterTest,testDefaultArgName,Pass
Cli,32,add_test.java,org.apache.commons.cli.HelpFormatterTest,testFindWrapPosNewlineWithinWidthFromOffset,Pass
Cli,33,add_test.java,org.apache.commons.cli.HelpFormatterTest,testIndentedHeaderAndFooter,Pass
Cli,37,add_test.java,org.apache.commons.cli.bug.BugCLI265Test,shouldRecognizeSingleDashLongOption,Pass
Cli,38,add_test.java,org.apache.commons.cli.bug.BugCLI265Test,shouldParseConcatenatedShortOptionsReversed,Pass
Cli,39,add_test.java,org.apache.commons.cli.PatternOptionBuilderTest,testExistingFilePatternWithDirectory,Pass
Cli,40,add_test.java,org.apache.commons.cli.TypeHandlerTest,testCreateValueBoolean_failure,Pass
