project,bug_id,add_test_file,class_fqcn,method_name,result
JacksonDatabind,1,add_test.java,com.fasterxml.jackson.databind.struct.TestPOJOAsArray,testNullColumn,Not Compilable
JacksonDatabind,2,add_test.java,com.fasterxml.jackson.databind.node.TestConversions,testConversionOfList,Pass
JacksonDatabind,4,add_test.java,com.fasterxml.jackson.databind.deser.TestCollectionDeserialization,testArrayIndexForExceptions,Not Compilable
JacksonDatabind,5,add_test.java,com.fasterxml.jackson.databind.introspect.TestMixinMerging,testChildOverridesParentForRealMethod,Not Compilable
JacksonDatabind,6,add_test.java,com.fasterxml.jackson.databind.deser.TestDateDeserialization,testISO8601MissingSecondsZulu,Pass
JacksonDatabind,7,add_test.java,com.fasterxml.jackson.databind.creators.TestCreatorsDelegating,testDelegateWithTokenBufferSingleField,Pass
JacksonDatabind,9,add_test.java,com.fasterxml.jackson.databind.ser.TestMapSerialization,testClassKeyArray,Pass
JacksonDatabind,10,add_test.java,com.fasterxml.jackson.databind.ser.TestAnyGetter,testAnyGetterWithAnnotatedCustomSerializer,Not Compilable
JacksonDatabind,11,add_test.java,com.fasterxml.jackson.databind.type.TestJavaType,testLocalTypeRecursiveBound,Pass
JacksonDatabind,13,add_test.java,com.fasterxml.jackson.databind.struct.TestObjectIdDeserialization,testNullObjectIdNoOtherFields,Not Compilable
JacksonDatabind,14,add_test.java,com.fasterxml.jackson.databind.convert.TestUpdateValue,testRootDeserializerMismatch,Not Compilable
JacksonDatabind,15,add_test.java,com.fasterxml.jackson.databind.convert.TestConvertingSerializer,testMapLikeTypeDetection,Pass
JacksonDatabind,16,add_test.java,com.fasterxml.jackson.databind.mixins.MixinsWithBundlesTest,testMixinOverride,Pass
JacksonDatabind,17,add_test.java,com.fasterxml.jackson.databind.node.TestJsonNode,testArrayWithDefaultTypingNonConcreteAndArrays,Pass
JacksonDatabind,18,add_test.java,com.fasterxml.jackson.databind.seq.ReadRecoveryTest,testSimpleArrayRecovery,Pass
JacksonDatabind,23,add_test.java,com.fasterxml.jackson.databind.ser.TestJsonSerialize2,testEmptyInclusionScalars,Not Compilable
JacksonDatabind,24,add_test.java,com.fasterxml.jackson.databind.ser.TestConfig,testDateFormatConfig,Pass
JacksonDatabind,30,add_test.java,com.fasterxml.jackson.databind.jsontype.TestExternalId,testBigDecimal965,Not Compilable
JacksonDatabind,31,add_test.java,com.fasterxml.jackson.databind.util.TestTokenBuffer,testOutputContext,Pass
JacksonDatabind,32,add_test.java,com.fasterxml.jackson.databind.deser.TestUntypedDeserialization,testNestedUntyped989,Not Compilable
JacksonDatabind,33,add_test.java,com.fasterxml.jackson.databind.struct.TestUnwrapped,testUnwrappedOnGetterAsPropertyIndicator,Pass
JacksonDatabind,36,add_test.java,com.fasterxml.jackson.databind.TestStdDateFormat,testTimeZoneNull,Pass
JacksonDatabind,39,add_test.java,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl,testUnknownTypeIDRecoveryWithArray,Pass
JacksonDatabind,41,add_test.java,com.fasterxml.jackson.databind.interop.DeprecatedTypeHandling1102Test,testDeprecatedTypeResolutionWithNullJavaType,Pass
JacksonDatabind,43,add_test.java,com.fasterxml.jackson.databind.objectid.TestObjectIdSerialization,testMissingStringPropertyId,Pass
JacksonDatabind,45,add_test.java,com.fasterxml.jackson.databind.ser.DateSerializationTest,testDateExplicitNumericShape,Pass
JacksonDatabind,47,add_test.java,com.fasterxml.jackson.databind.ser.TestJsonSerializeAs,testMainTypeSpecialization,Pass
