project,bug_id,add_test_file,class_fqcn,method_name,result
Math,1,add_test.java,org.apache.commons.math3.fraction.BigFractionTest,testDigitLimitConstructorNegativeOverflow,Pass
Math,3,add_test.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithEmptyArray,Pass
Math,4,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,testIntersectionColinearDisjoint,Pass
Math,6,add_test.java,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest,testIterationsUpdatedPowell,Pass
Math,7,add_test.java,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest,testEventsSchedulingBackward,Pass
Math,8,add_test.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testIssue942,Pass
Math,9,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.LineTest,testDoubleRevert,Pass
Math,10,add_test.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2InfinityCases,Pass
Math,11,add_test.java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testThreeDimensionalStandardAtMean,Pass
Math,13,add_test.java,org.apache.commons.math3.optimization.fitting.PolynomialFitterTest,testLargeSample,Pass
Math,15,add_test.java,org.apache.commons.math3.util.FastMathTest,testMath904_additionalOddLarge,Pass
Math,17,add_test.java,org.apache.commons.math3.dfp.DfpTest,testMultiply,Not Compilable
Math,18,add_test.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testZeroRangeBound,Pass
Math,19,add_test.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testBoundaryRangeTooLargeMixedDimensions,Pass
Math,20,add_test.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testLowerBoundRepair,Pass
Math,21,add_test.java,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest,testSemidefiniteRank,Pass
Math,23,add_test.java,org.apache.commons.math3.optimization.univariate.BrentOptimizerTest,testKeepInitIfBestMaximize,Pass
Math,24,add_test.java,org.apache.commons.math3.optimization.univariate.BrentOptimizerTest,testConvergenceCheckerReturnsBestPoint,Pass
Math,25,add_test.java,org.apache.commons.math3.optimization.fitting.HarmonicFitterTest,testMath844DegenerateTwoPoints,Pass
Math,26,add_test.java,org.apache.commons.math3.fraction.FractionTest,testIntegerOverflow2,Pass
Math,27,add_test.java,org.apache.commons.math3.fraction.FractionTest,testMath835Negative,Pass
Math,29,add_test.java,org.apache.commons.math3.linear.RealVectorAbstractTest,testEbeDivideZeroByZero,Pass
Math,29,add_test1.java,org.apache.commons.math3.linear.RealVectorAbstractTest,testEbeMultiplyZeroWithSpecialValues,Pass
Math,31,add_test.java,org.apache.commons.math3.distribution.FDistributionTest,testCdfAtOneLargeDof,Pass
Math,34,add_test.java,org.apache.commons.math3.genetics.ListPopulationTest,testIterator,Pass
Math,36,add_test.java,org.apache.commons.math.fraction.BigFractionTest,testDoubleValueForPowerOfTwoRatio,Pass
Math,37,add_test.java,org.apache.commons.math.complex.ComplexTest,testTan,Not Compilable
Math,39,add_test.java,org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest,testTooLargeFirstStep,Pass
Math,40,add_test.java,org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest,testIssue716,Pass
Math,41,add_test.java,org.apache.commons.math.stat.descriptive.UnivariateStatisticAbstractTest,testEvaluateArraySegmentWeightedAdditional,Pass
Math,44,add_test.java,org.apache.commons.math.ode.events.EventStateTest,testIssue695,Pass
Math,45,add_test.java,org.apache.commons.math.linear.OpenMapRealMatrixTest,testOverflowByRows,Not Compilable
Math,46,add_test.java,org.apache.commons.math.complex.ComplexTest,testDivideZero,Pass
Math,47,add_test.java,org.apache.commons.math.complex.ComplexTest,testDivideZero,Pass
Math,48,add_test.java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631LeftSide,Not Compilable
Math,53,add_test.java,org.apache.commons.math.complex.ComplexTest,testAddNaNRealPart,Pass
Math,54,add_test.java,org.apache.commons.math.dfp.DfpTest,testSignedZeroUnderflow,Not Compilable
Math,55,add_test.java,org.apache.commons.math.geometry.Vector3DTest,testCrossProductOverflowPrevention,Pass
Math,56,add_test.java,org.apache.commons.math.util.MultidimensionalCounterTest,testOneDimensionalCounts,Pass
Math,57,add_test.java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testTwoSmallDistanceUniques,Pass
