project,bug_id,add_test_file,class_fqcn,method_name,result
Time,1,add_test.java,org.joda.time.TestPartial_Constructors,testConstructorEx_DuplicateTypes,Pass
Time,2,add_test.java,org.joda.time.TestPartial_Basics,testWith_baseMonthAndArgHaveNoRange,Not Pass
Time,3,add_test.java,org.joda.time.TestMutableDateTime_Adds,testAddWeekyears_int_dstOverlapWinter_addZero,Pass
Time,4,add_test.java,org.joda.time.TestPartial_Basics,testWith3,Pass
Time,6,add_test.java,org.joda.time.chrono.TestGJDate,test_cutoverAtYearZero,Pass
Time,8,add_test.java,org.joda.time.TestDateTimeZone,testForOffsetHoursMinutes_int_int_additional,Pass
Time,9,add_test.java,org.joda.time.TestDateTimeZone,testForOffsetHoursMinutes_int_int,Pass
Time,10,add_test.java,org.joda.time.TestDays,testFactory_daysBetween_RPartial_MonthDay,Not Compilable
Time,13,add_test.java,org.joda.time.format.TestISOPeriodFormat,testFormatStandard_negative,Pass
Time,14,add_test.java,org.joda.time.TestMonthDay_Basics,testPlusMonths_int_leapMultipleYears,Pass
Time,16,add_test.java,org.joda.time.format.TestDateTimeFormatter,testParseInto_monthOnly_withDefaultYear_ignored,Pass
Time,17,add_test.java,org.joda.time.TestDateTimeZoneCutover,testBug3476684_adjustOffset,Not Pass
Time,19,add_test.java,org.joda.time.TestDateTimeZoneCutover,testDateTimeCreation_newyork,Pass
Time,22,add_test.java,org.joda.time.TestDuration_Basics,testToPeriod_fixedZone,Not Pass
Time,24,add_test.java,org.joda.time.format.TestDateTimeFormatter,testParseLocalDate_month_week_weekyear_2010,Not Pass
Time,26,add_test.java,org.joda.time.TestDateTimeZoneCutover,testSetTextRetainsOffsetInOverlap,Not Compilable
Time,27,add_test.java,org.joda.time.format.TestPeriodFormatterBuilder,testLeadingSeparatorTimeOnly,Not Pass
