project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,129,1,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,130,2,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,131,3,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,132,4,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,133,5,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,134,6,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,135,7,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,136,8,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,137,9,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,138,10,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,139,11,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,140,12,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,141,13,2,0,1,1,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,142,14,0,1,0,0,False
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,143,15,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,144,16,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,145,17,5,0,0,0,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,146,18,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,147,19,2,0,1,1,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,148,20,0,1,0,0,False
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,149,21,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,150,22,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,151,23,3,0,3,0,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,152,24,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,153,25,3,0,2,0,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,154,26,1,0,0,0,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,155,27,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,156,28,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,157,29,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,158,30,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,159,31,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,160,32,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,161,33,2,0,0,0,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,162,34,11,0,1,1,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,163,35,4,0,2,0,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,164,36,,,,,
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,165,37,8,0,2,2,True
Closure,127,Closure-127-buggy_ind1,add_test.java,function_1,com.google.javascript.jscomp.UnreachableCodeElimination,com/google/javascript/jscomp/UnreachableCodeElimination.java,private void tryRemoveUnconditionalBranching(Node n) {,129,189,166,38,1,0,0,0,True
