project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Cli,1,Cli-1-buggy,function_1,,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,70,67,1,,,,,
Cli,1,Cli-1-buggy,function_1,,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,70,68,2,,,,,
Cli,1,Cli-1-buggy,function_1,,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,70,69,3,5,0,0,0,True
Cli,1,Cli-1-buggy,function_1,,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,70,70,4,,,,,
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,89,1,,,,,
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,90,2,,,,,
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,91,3,0,4,0,0,False
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,92,4,,,,,
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,93,5,0,5,0,2,False
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,94,6,,,,,
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,95,7,0,2,0,0,False
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,96,8,,,,,
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,97,9,,,,,
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,98,10,0,7,0,0,False
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,99,11,,,,,
Cli,1,Cli-1-buggy,function_2,,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),89,101,100,12,0,8,0,2,False
