project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,445,1,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,446,2,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,447,3,3,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,448,4,3,0,2,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,449,5,3,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,450,6,3,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,451,7,3,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,452,8,5,0,2,3,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,453,9,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,454,10,7,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,455,11,1,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,456,12,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,457,13,0,7,0,0,False
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,458,14,0,1,0,0,False
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,459,15,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,460,16,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,461,17,0,5,0,0,False
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,462,18,0,5,0,0,False
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,463,19,0,1,0,0,False
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,464,20,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,465,21,6,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,466,22,1,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,467,23,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,468,24,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,469,25,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,470,26,2,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,471,27,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,472,28,4,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,473,29,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,474,30,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,475,31,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,476,32,3,0,2,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,477,33,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,478,34,3,0,2,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,479,35,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,480,36,3,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,481,37,7,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,482,38,5,0,0,0,True
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,483,39,,,,,
Jacksonxml,1,JacksonXml-1-buggy,function_1,,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,578,484,40,4,0,2,0,True
