project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,369,1,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,370,2,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,371,3,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,372,4,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,373,5,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,374,6,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,375,7,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,376,8,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,377,9,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,378,10,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,379,11,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,380,12,3,0,0,0,True
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,381,13,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,382,14,3,0,0,0,True
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,383,15,4,0,1,1,True
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,384,16,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,385,17,0,1,0,0,False
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,386,18,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,387,19,,,,,
Closure,1,Closure-1-buggy,function_1,com.google.javascript.jscomp.RemoveUnusedVars,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,388,20,3,0,0,0,True
