project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,414,1,,,,,
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,415,2,3,0,1,1,True
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,416,3,0,1,0,0,False
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,417,4,,,,,
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,418,5,,,,,
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,419,6,,,,,
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,420,7,2,0,1,1,True
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,421,8,3,0,0,0,True
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,422,9,3,9,1,3,True
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,423,10,2,0,0,0,True
Codec,2,Codec-2-buggy,function_1,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,473,424,11,,,,,
