project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
JacksonDatabind,2,JacksonDatabind-2-buggy,function_1,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeObject(Object value) throws IOException,781,788,781,1,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_1,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeObject(Object value) throws IOException,781,788,782,2,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_1,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeObject(Object value) throws IOException,781,788,783,3,4,0,0,0,True
JacksonDatabind,2,JacksonDatabind-2-buggy,function_1,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeObject(Object value) throws IOException,781,788,784,4,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_1,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeObject(Object value) throws IOException,781,788,785,5,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_1,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeObject(Object value) throws IOException,781,788,786,6,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_1,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeObject(Object value) throws IOException,781,788,787,7,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_1,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeObject(Object value) throws IOException,781,788,788,8,1,0,0,0,True
JacksonDatabind,2,JacksonDatabind-2-buggy,function_2,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeTree(TreeNode node) throws IOException,791,796,791,1,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_2,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeTree(TreeNode node) throws IOException,791,796,792,2,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_2,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeTree(TreeNode node) throws IOException,791,796,793,3,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_2,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeTree(TreeNode node) throws IOException,791,796,794,4,,,,,
JacksonDatabind,2,JacksonDatabind-2-buggy,function_2,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeTree(TreeNode node) throws IOException,791,796,795,5,0,4,0,0,False
JacksonDatabind,2,JacksonDatabind-2-buggy,function_2,com.fasterxml.jackson.databind.util.TokenBuffer,com/fasterxml/jackson/databind/util/TokenBuffer.java,public void writeTree(TreeNode node) throws IOException,791,796,796,6,0,1,0,0,False
JacksonDatabind,6,JacksonDatabind-6-buggy,function_1,com.fasterxml.jackson.databind.util.StdDateFormat,com/fasterxml/jackson/databind/util/StdDateFormat.java,"protected Date parseAsISO8601(String dateStr, ParsePosition pos)",359,434,359,1,,,,,
JacksonDatabind,6,JacksonDatabind-6-buggy,function_1,com.fasterxml.jackson.databind.util.StdDateFormat,com/fasterxml/jackson/databind/util/StdDateFormat.java,"protected Date parseAsISO8601(String dateStr, ParsePosition pos)",359,434,360,2,,,,,
JacksonDatabind,6,JacksonDatabind-6-buggy,function_1,com.fasterxml.jackson.databind.util.StdDateFormat,com/fasterxml/jackson/databind/util/StdDateFormat.java,"protected Date parseAsISO8601(String dateStr, ParsePosition pos)",359,434,361,3,,,,,
