project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,37,1,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,38,2,3,0,0,0,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,39,3,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,40,4,17,0,5,1,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,41,5,4,0,0,0,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,42,6,2,0,0,0,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,43,7,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,44,8,4,0,0,0,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,45,9,3,3,1,3,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,46,10,1,0,0,0,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,47,11,2,0,0,0,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,48,12,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,49,13,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,50,14,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,51,15,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,52,16,2,0,0,0,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,53,17,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,54,18,5,0,1,1,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,55,19,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,56,20,2,0,0,0,True
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,57,21,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,58,22,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,59,23,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,60,24,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,61,25,0,2,0,2,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,62,26,0,9,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,63,27,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,64,28,0,8,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,65,29,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,66,30,0,1,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,67,31,0,23,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,68,32,0,2,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,69,33,0,1,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,70,34,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,71,35,0,3,0,2,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,72,36,0,3,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,73,37,0,5,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,74,38,0,5,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,75,39,0,1,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,76,40,0,3,0,0,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,77,41,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,78,42,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,79,43,,,,,
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,80,44,0,14,0,2,False
Lang,19,Lang-19-buggy_ind1,add_test.java,function_1,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,83,81,45,,,,,
