project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Closure,1,Closure-1-buggy,add_test.java,com.google.javascript.jscomp.CommandLineRunnerTest,testSimpleModeLeavesUnusedParams,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,44,14,6,6,44,14,6,6,24,38,4,10,24,38,4,10
Closure,2,Closure-2-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,26,1.0000,,,4,1.0000,,,,,3,82,0,8,0,0,0,0,26,68,4,8
Closure,3,Closure-3-buggy,add_test.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpression2,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,4,Closure-4-buggy,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testExtendsLoopViaRegistry,Not Pass,Pass,Pass,Pass,3,0.0909,3,0.0833,1,0.1111,1,0.0909,25,33,3,9,28,30,4,8,31,36,5,11,34,33,6,10
Closure,5,Closure-5-buggy,add_test.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testNoInlineDeletedProperties_afterReassign,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,110,25,20,12,110,25,20,12,103,37,18,16,103,37,18,16
Closure,6,Closure-6-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,54,1.0000,,,6,1.0000,,,,,46,59,10,20,0,0,0,0,54,15,6,8
Closure,7,Closure-7-buggy,add_test.java,com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest,testGoogIsFunction_Object,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,21,8,4,4,21,8,4,4,22,9,4,4,22,9,4,4
Closure,8,Closure-8-buggy,add_test.java,com.google.javascript.jscomp.CollapseVariableDeclarationsTest,testIssue820_additionalParamVarOrder,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,33,3,6,4,33,3,6,4,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,9,Closure-9-buggy,add_test.java,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testGuessModuleName,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,10,Closure-10-buggy,add_test.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testIssue821,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,11,Closure-11-buggy,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testIssue810,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,43,16,5,3,43,16,5,3,49,15,9,1,49,15,9,1
