project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Compress,1,Compress-1-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,9,1.0000,,,1,1.0000,,,,,9,0,1,1,0,0,0,0,9,0,1,1
Compress,2,Compress-2-buggy,add_test.java,org.apache.commons.compress.archivers.ArTestCase,testArPadding,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,167,50,16,8,167,50,16,8,335,68,40,14,335,68,40,14
Compress,3,Compress-3-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,40,1.0000,,,3,1.0000,,,,,37,126,2,12,0,0,0,0,40,140,3,13
Compress,4,Compress-4-buggy,add_test.java,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testUtf8FileRoundtripImplicitUnicodeExtra,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,15,198,4,40,15,198,4,40,21,258,5,61,21,258,5,61
Compress,5,Compress-5-buggy,add_test.java,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest,testRead7ZipMultiVolumeArchiveForStream,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,81,100,18,16,81,100,18,16,87,107,17,19,87,107,17,19
Compress,6,Compress-6-buggy,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testNotEqualsNullVsNonNullName,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Compress,7,Compress-7-buggy,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testRoundTripNames,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Compress,8,Compress-8-buggy,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalNoTrailerWithLeadingSpace,Not Pass,Not Pass,Pass,Pass,34,0.6939,26,0.6047,8,0.5333,6,0.3529,17,49,1,15,51,15,9,7,85,43,19,17,111,17,25,11
Compress,9,Compress-9-buggy,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testCountAssembly,Not Pass,Not Pass,Not Pass,Pass,58,0.4427,63,0.4468,3,0.5000,3,0.5000,38,131,4,6,96,73,7,3,35,141,4,6,98,78,7,3
Compress,10,Compress-10-buggy,add_test.java,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testIterateAndReadWinZipArchive,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,123,5,8,2,123,5,8,2,161,5,11,3,161,5,11,3
Compress,11,Compress-11-buggy,add_test.java,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest,emptyStreamIsNoTAR,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,84,54,8,8,84,54,8,8,78,64,9,9,78,64,9,9
Compress,12,Compress-12-buggy,add_test.java,org.apache.commons.compress.archivers.TarTestCase,testCOMPRESS178_Direct,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,6,137,2,22,6,137,2,22,24,132,3,21,24,132,3,21
Compress,13,Compress-13-buggy,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,winzipBackSlashWorkaroundAllEntries,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Compress,14,Compress-14-buggy,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,workaroundForBrokenTimeHeader,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,98,30,18,8,98,30,18,8,92,20,18,8,92,20,18,8
Compress,15,Compress-15-buggy,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testNullCommentEqualsEmptyCommentSymmetry,Pass,Not Pass,Pass,Pass,6,0.0723,2,0.1538,2,0.0606,1,0.0526,37,83,7,33,43,77,9,31,113,13,21,19,115,11,22,18
Compress,16,Compress-16-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,98,1.0000,,,11,1.0000,,,,,87,54,9,9,0,0,0,0,98,55,11,11
Compress,17,Compress-17-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,77,1.0000,,,15,1.0000,,,,,81,33,13,9,0,0,0,0,77,41,15,9
Compress,18,Compress-18-buggy,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testWriteNonAsciiLongDirectoryNamePosixMode,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,121,11,5,1,121,11,5,1,139,5,6,2,139,5,6,2
Compress,19,Compress-19-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,55,1.0000,,,10,1.0000,,,,,44,53,6,14,0,0,0,0,55,42,10,10
Compress,20,Compress-20-buggy,add_test.java,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest,testModeZeroNonTrailerNewAscii,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Compress,21,Compress-21-buggy,add_test.java,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest,testOneEmptyFile,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,41,0,8,2,41,0,8,2,40,0,9,1,40,0,9,1
Compress,21,Compress-21-buggy,add_test1.java,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest,testSixteenFilesSomeNotEmpty,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,41,0,8,2,41,0,8,2,40,0,9,1,40,0,9,1
Compress,22,Compress-22-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,82,1.0000,,,3,1.0000,,,,,82,204,3,20,0,0,0,0,82,204,3,20
Compress,23,Compress-23-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,49,1.0000,,,3,1.0000,,,,,32,18,1,3,0,0,0,0,49,5,3,1
Compress,24,Compress-24-buggy,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctal,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,46,80,6,18,46,80,6,18,69,26,14,6,69,26,14,6
Compress,25,Compress-25-buggy,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,testConstructorDoesNotThrowOnEmptyStream,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Compress,26,Compress-26-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,38,1.0000,,,6,1.0000,,,,,24,0,3,1,0,0,0,0,38,3,6,2
Compress,27,Compress-27-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,80,1.0000,,,18,1.0000,,,,,88,24,18,4,0,0,0,0,80,24,18,4
Compress,28,Compress-28-buggy,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,shouldThrowAnExceptionOnTruncatedEntriesWhenReadingManually,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Compress,29,Compress-29-buggy,add_test.java,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest,testTarEncodingChecksumAutodetect,Not Pass,Not Pass,Not Pass,Pass,28,0.1830,28,0.1830,3,0.1250,3,0.1250,388,153,36,24,416,125,39,21,388,153,36,24,416,125,39,21
Compress,30,Compress-30-buggy,add_test.java,org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStreamTest,readOfLength0ShouldReturn0,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,48,56,9,5,48,56,9,5,50,58,10,6,50,58,10,6
Compress,31,Compress-31-buggy,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalEmbeddedNulAfterSpaces,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,102,0,20,2,102,0,20,2,109,2,19,3,109,2,19,3
Compress,32,Compress-32-buggy,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,shouldReadBigUid,Pass,Not Pass,Pass,Pass,8,0.0909,14,0.1750,3,0.1667,3,0.1765,31,88,4,18,39,80,7,15,39,80,5,17,53,66,8,14
