project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Gson,1,Gson-1-buggy,add_test.java,com.google.gson.functional.TypeVariableTest,testGenericHolderWithParameterizedField,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,29,101,5,11,29,101,5,11,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,2,Gson-2-buggy,add_test.java,com.google.gson.functional.DefaultTypeAdaptersTest,testJsonElementTypeMismatch,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,20,1,1,26,20,1,1,71,29,3,3,71,29,3,3
Gson,3,Gson-3-buggy,add_test.java,com.google.gson.functional.MapTest,testConcurrentMap,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,55,154,6,16,55,154,6,16,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,3,Gson-3-buggy,add_test1.java,com.google.gson.functional.MapTest,testConcurrentNavigableMap,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,55,154,6,16,55,154,6,16,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,4,Gson-4-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,161,1.0000,,,21,1.0000,,,,,69,494,12,94,0,0,0,0,161,378,21,77
Gson,5,Gson-5-buggy,add_test.java,com.google.gson.DefaultDateTypeAdapterTest,testDateDeserializationISO8601,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,313,78,29,24,313,78,29,24,269,156,30,33,269,156,30,33
Gson,6,Gson-6-buggy,add_test.java,com.google.gson.regression.JsonAdapterNullSafeTest,testRespectsNullSafeFlagTypeAdapter,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,7,Gson-7-buggy,add_test.java,com.google.gson.stream.JsonReaderTest,testNextLongOnUnquotedStringPrefixedWithInteger,Pass,Not Pass,Pass,Pass,0,0.0000,5,0.0140,0,0.0000,0,0.0000,90,303,10,20,90,303,10,20,93,358,12,22,98,353,12,22
Gson,8,Gson-8-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,60,1.0000,,,3,1.0000,,,,,39,151,0,0,0,0,0,0,60,193,3,9
Gson,9,Gson-9-buggy,add_test.java,com.google.gson.stream.JsonWriterTest,testBoxedBooleans,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,14,58,2,12,14,58,2,12,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,10,Gson-10-buggy,add_test.java,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest,testPrimitiveFieldAnnotationTakesPrecedenceOverDefault,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,101,24,5,9,101,24,5,9,114,21,7,9,114,21,7,9
Gson,11,Gson-11-buggy,add_test.java,com.google.gson.functional.PrimitiveTest,testNumberAsStringDeserialization,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,20,10,1,2,20,10,1,2,14,22,1,3,14,22,1,3
Gson,12,Gson-12-buggy,add_test.java,com.google.gson.internal.bind.JsonTreeReaderTest,testNextName_singleEntryObject,Not Pass,Pass,Pass,Pass,5,0.2000,7,0.2692,1,0.5000,1,0.5000,0,25,0,2,5,20,1,1,0,26,0,2,7,19,1,1
Gson,13,Gson-13-buggy,add_test.java,com.google.gson.stream.JsonReaderTest,testNegativeZeroTopLevel,Pass,Not Pass,Pass,Pass,11,0.0821,11,0.0786,3,0.0577,3,0.0556,90,134,13,52,101,123,16,49,90,140,15,54,101,129,18,51
Gson,14,Gson-14-buggy,add_test.java,com.google.gson.internal.bind.RecursiveTypesResolveTest,testSuperSubtypeObject,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,0,0,0,31,0,0,0,47,0,4,0,47,0,4,0
Gson,15,Gson-15-buggy,add_test.java,com.google.gson.stream.JsonWriterTest,testNonFiniteDoublesInObjectWhenLenient,Pass,Not Pass,Pass,Pass,3,0.2308,0,0.0000,2,0.6667,0,0.0000,17,13,1,3,20,10,3,1,21,12,4,2,21,12,4,2
Gson,16,Gson-16-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,142,1.0000,,,25,1.0000,,,,,111,83,19,17,0,0,0,0,142,62,25,13
Gson,17,Gson-17-buggy,add_test.java,com.google.gson.DefaultDateTypeAdapterTest,testUnexpectedNumberToken,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,9,35,1,7,9,35,1,7,18,35,3,7,18,35,3,7
Gson,18,Gson-18-buggy,add_test.java,com.google.gson.functional.CollectionTest,testIssue1107,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,12,0,0,0,12,0,0,0,26,0,2,0,26,0,2,0
