project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jacksoncore,1,JacksonCore-1-buggy,add_test.java,com.fasterxml.jackson.core.json.TestParserNonStandard,testAllowNaN,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,44,0,6,0,44,0,6,15,260,2,68,15,260,2,68
Jacksoncore,2,JacksonCore-2-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,203,1.0000,,,25,1.0000,,,,,199,972,24,216,0,0,0,0,203,972,25,216
Jacksoncore,3,JacksonCore-3-buggy,add_test.java,com.fasterxml.jackson.core.json.TestLocation,testOffsetWithInputOffsetEnd,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,0,0,0,26,0,0,0,34,0,0,0,34,0,0,0
Jacksoncore,4,JacksonCore-4-buggy,add_test.java,com.fasterxml.jackson.core.util.TestTextBuffer,testExpandNoUnitGrowthAtThreshold,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,5,JacksonCore-5-buggy,add_test.java,com.fasterxml.jackson.core.TestJsonPointer,testWonkyNumber173,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,29,16,7,7,29,16,7,7,27,17,6,8,27,17,6,8
Jacksoncore,6,JacksonCore-6-buggy,add_test.java,com.fasterxml.jackson.core.TestJsonPointer,testIZeroIndex,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,7,JacksonCore-7-buggy,add_test.java,com.fasterxml.jackson.core.json.GeneratorFailTest,testFailOnWritingNumberNotFieldName,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,16,4,4,31,16,4,4,25,27,5,5,25,27,5,5
Jacksoncore,8,JacksonCore-8-buggy,add_test.java,com.fasterxml.jackson.core.util.TestTextBuffer,testEmpty,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,15,16,4,4,15,16,4,4,5,31,1,9,5,31,1,9
Jacksoncore,9,JacksonCore-9-buggy,Not Generated,Not Generated,Not Generated,Not Compilable,Not Generated,Not Generated,,,,Not Compilable,Not Compilable,,,Not Compilable,Not Compilable,,,,,33,83,6,20,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,10,JacksonCore-10-buggy,add_test.java,com.fasterxml.jackson.core.sym.TestSymbolTables,testSyntheticWithBytesNew,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,110,0,11,1,110,0,11,1,110,0,11,1,110,0,11,1
