project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jacksondatabind,1,JacksonDatabind-1-buggy,add_test.java,com.fasterxml.jackson.databind.struct.TestPOJOAsArray,testNullColumn,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksondatabind,2,JacksonDatabind-2-buggy,add_test.java,com.fasterxml.jackson.databind.node.TestConversions,testConversionOfList,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,5,5,0,0,5,5,0,0,14,32,3,7,14,32,3,7
Jacksondatabind,3,JacksonDatabind-3-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,55,1.0000,,,8,1.0000,,,,,52,83,8,10,0,0,0,0,55,77,8,10
Jacksondatabind,4,JacksonDatabind-4-buggy,add_test.java,com.fasterxml.jackson.databind.deser.TestCollectionDeserialization,testArrayIndexForExceptions,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksondatabind,5,JacksonDatabind-5-buggy,add_test.java,com.fasterxml.jackson.databind.introspect.TestMixinMerging,testChildOverridesParentForRealMethod,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksondatabind,6,JacksonDatabind-6-buggy,add_test.java,com.fasterxml.jackson.databind.deser.TestDateDeserialization,testISO8601MissingSecondsZulu,Not Pass,Not Pass,Pass,Pass,39,0.3333,75,0.2941,3,0.1364,5,0.0962,95,117,6,22,134,78,9,19,161,255,14,52,236,180,19,47
Jacksondatabind,7,JacksonDatabind-7-buggy,add_test.java,com.fasterxml.jackson.databind.creators.TestCreatorsDelegating,testDelegateWithTokenBufferSingleField,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,5,0,0,0,5,0,0,0,22,3,3,1,22,3,3,1
Jacksondatabind,8,JacksonDatabind-8-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,33,1.0000,,,5,1.0000,,,,,57,9,5,5,0,0,0,0,33,31,5,5
Jacksondatabind,9,JacksonDatabind-9-buggy,add_test.java,com.fasterxml.jackson.databind.ser.TestMapSerialization,testClassKeyArray,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,10,6,1,1,10,6,1,1,18,16,3,3,18,16,3,3
Jacksondatabind,10,JacksonDatabind-10-buggy,add_test.java,com.fasterxml.jackson.databind.ser.TestAnyGetter,testAnyGetterWithAnnotatedCustomSerializer,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
