project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jsoup,1,Jsoup-1-buggy,add_test.java,org.jsoup.parser.ParserTest,movesTextToEmptyBodyWithoutLeadingSpace,Not Compilable,Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,58,0,7,1,58,0,7,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,1,Jsoup-1-buggy,add_test1.java,org.jsoup.parser.ParserTest,movesMultipleRootTextNodesInOrder,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,58,0,7,1,58,0,7,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,2,Jsoup-2-buggy,add_test.java,org.jsoup.parser.ParserTest,handlesTextAfterData_Title,Pass,Not Pass,Not Pass,Pass,6,0.1395,6,0.1395,1,0.0833,1,0.0833,107,43,8,12,113,37,9,11,109,43,8,12,115,37,9,11
Jsoup,3,Jsoup-3-buggy,add_test.java,org.jsoup.nodes.ElementTest,testWrapMovesAllRemainders,Not Pass,Pass,Pass,Pass,57,0.4318,74,0.4512,7,0.1667,9,0.1957,289,132,38,42,346,75,45,35,276,164,36,46,350,90,45,37
Jsoup,4,Jsoup-4-buggy,add_test.java,org.jsoup.nodes.EntitiesTest,caseSensitive,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,89,0,14,0,89,0,14,0,92,0,14,0,92,0,14
Jsoup,5,Jsoup-5-buggy,add_test.java,org.jsoup.parser.ParserTest,parsesAttributeWithTrailingSpaceBeforeClose,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,90,12,11,3,90,12,11,3,104,26,14,4,104,26,14,4
Jsoup,6,Jsoup-6-buggy,add_test.java,org.jsoup.nodes.EntitiesTest,unescapeOutOfRangeNumeric,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,1,0.5000,84,4,12,2,84,4,12,2,85,4,12,2,85,4,13,1
Jsoup,7,Jsoup-7-buggy,add_test.java,org.jsoup.nodes.DocumentTest,testNormalisesStructure,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,52,46,7,7,52,46,7,7,190,46,22,10,190,46,22,10
Jsoup,8,Jsoup-8-buggy,Not Generated,Not Generated,Not Generated,Not Compilable,Not Generated,Not Generated,,,,Not Compilable,Not Compilable,,,Not Compilable,Not Compilable,,,,,13,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,10,Jsoup-10-buggy,add_test.java,org.jsoup.nodes.NodeTest,absHandlesRelativeQueryNoBaseQuery,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,11,Jsoup-11-buggy,add_test.java,org.jsoup.select.SelectorTest,notMultiple,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,194,90,30,18,194,90,30,18,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,12,Jsoup-12-buggy,add_test.java,org.jsoup.select.SelectorTest,testByAttributeRegexCombinedChild,Not Compilable,Not Pass,Not Compilable,Pass,9,0.2308,Not Compilable,Not Compilable,1,0.3333,Not Compilable,Not Compilable,39,39,5,3,48,30,6,2,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
