project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Math,1,Math-1-buggy,add_test.java,org.apache.commons.math3.fraction.BigFractionTest,testDigitLimitConstructorNegativeOverflow,Not Compilable,Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,1,0.1000,Not Compilable,Not Compilable,285,42,30,10,285,42,31,9,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,2,Math-2-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,12,1.0000,,,0,0.0000,,,,,11,0,0,0,0,0,0,0,12,0,0,0
Math,3,Math-3-buggy,add_test.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithEmptyArray,Pass,Not Pass,Pass,Pass,0,0.0000,2,0.0110,0,0.0000,1,0.0909,85,102,2,8,85,102,2,8,20,182,3,11,22,180,4,10
Math,4,Math-4-buggy,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,testIntersectionColinearDisjoint,Pass,Pass,Pass,Pass,62,0.4493,54,0.4154,10,0.2778,12,0.3000,26,138,0,36,88,76,10,26,34,130,4,40,88,76,16,28
Math,5,Math-5-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,15,1.0000,,,3,1.0000,,,,,15,63,3,7,0,0,0,0,15,63,3,7
Math,6,Math-6-buggy,add_test.java,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest,testIterationsUpdatedPowell,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1966,860,176,137,1966,860,176,137,1978,876,176,141,1978,876,176,141
Math,7,Math-7-buggy,add_test.java,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest,testEventsSchedulingBackward,Not Pass,Not Pass,Not Pass,Pass,1,0.0182,1,0.0103,1,0.0833,1,0.0455,228,55,24,12,229,54,25,11,230,97,24,22,231,96,25,21
Math,8,Math-8-buggy,add_test.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testIssue942,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,16,16,2,2,16,16,2,2,70,14,14,8,70,14,14,8
Math,9,Math-9-buggy,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.LineTest,testDoubleRevert,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,13,2,0,0,13,2,0,0,11,2,0,0,11,2,0,0
Math,10,Math-10-buggy,add_test.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2InfinityCases,Pass,Not Pass,Pass,Pass,57,0.9828,57,0.9828,4,0.8000,4,0.8000,87,58,3,5,144,1,7,1,97,58,3,5,154,1,7,1
