project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Chart,1,Chart-1-buggy,add_test.java,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,54,24,8,10,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Chart,2,Chart-2-buggy,add_test.java,org.jfree.data.general.junit.DatasetUtilitiesTests,testBug2849731_3,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,193,155,27,35,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Chart,3,Chart-3-buggy,add_test.java,org.jfree.data.time.junit.TimeSeriesTests,testCreateCopyEndTooBig,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,41,13,5,3,58,13,6,4,58,13,6,4
Chart,4,Chart-4-buggy,add_test.java,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,133,57,22,18,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Chart,5,Chart-5-buggy,add_test.java,org.jfree.data.xy.junit.XYSeriesTests,testAddDuplicateMaintainsOrderWithAutoSort,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,38,40,6,4,78,36,11,5,78,36,11,5
Chart,6,Chart-6-buggy,add_test.java,org.jfree.chart.util.junit.ShapeListTests,testEqualsEmpty,Not Compilable,Pass,Not Compilable,Pass,,,Not Compilable,Not Compilable,,,Not Compilable,Not Compilable,,,,,10,4,2,2,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Chart,7,Chart-7-buggy,add_test.java,org.jfree.data.time.junit.TimePeriodValuesTests,testMaxMiddleIndexNotUpdatedAfterLowerMiddle,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,181,0,24,0,181,0,24,0,181,0,24,0
Chart,8,Chart-8-buggy,add_test.java,org.jfree.data.time.junit.WeekTests,testConstructor_TimeZoneRespected,Pass,Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,6,0,0,0,6,0,0,0,6,0,0,0
Chart,9,Chart-9-buggy,add_test.java,org.jfree.data.time.junit.TimeSeriesTests,testCreateCopyEmptyRangeWithinGap,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,43,37,7,9,61,24,9,9,61,24,9,9
Chart,10,Chart-10-buggy,add_test.java,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests,testGenerateURLFragment,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,11,0,0,0,47,17,5,4,47,17,5,4
Chart,11,Chart-11-buggy,add_test.java,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,67,21,12,12,71,17,14,10,71,17,14,10
Chart,13,Chart-13-buggy,add_test.java,org.jfree.chart.block.junit.BorderArrangementTests,testArrangeFFClampsNegativeRanges,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,265,54,18,2,348,0,24,0,348,0,24,0
Chart,14,Chart-14-buggy,add_test.java,org.jfree.chart.plot.junit.XYPlotTests,testRemoveDomainMarkerWithParams,Pass,Not Pass,Pass,Pass,,,14,0.1346,,,2,0.0714,,,,,56,94,6,22,76,104,12,28,90,90,14,26
Chart,15,Chart-15-buggy,add_test.java,org.jfree.chart.plot.junit.PiePlot3DTests,testGetMaximumExplodePercentWithNullDataset,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,13,36,0,4,34,38,4,10,34,38,4,10
Chart,16,Chart-16-buggy,add_test.java,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests,testSetCategoryKeys2,Pass,Not Pass,Pass,Pass,,,5,0.0410,,,1,0.0435,,,,,33,133,4,22,62,122,9,23,67,117,10,22
Chart,18,Chart-18-buggy,add_test.java,org.jfree.data.junit.DefaultKeyedValuesTests,testRemoveLastUpdatesIndex,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,50,0,6,0,81,0,8,0,81,0,8,0
Chart,19,Chart-19-buggy,add_test.java,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisIndex,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,20,7,3,1,44,14,10,2,44,14,10,2
Chart,20,Chart-20-buggy,add_test.java,org.jfree.chart.plot.junit.ValueMarkerTests,testNullOutline,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,11,0,0,0,11,0,0,0,11,0,0,0
Chart,21,Chart-21-buggy,add_test.java,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests,testGetRangeBounds,Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,118,9,14,6,249,15,34,16,249,15,34,16
Chart,22,Chart-22-buggy,add_test.java,org.jfree.data.junit.KeyedObjects2DTests,testGetValueByKey,Not Pass,Not Pass,Pass,Pass,,,0,0.0000,,,0,0.0000,,,,,103,63,11,9,223,92,29,19,223,92,29,19
