project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jxpath,1,JxPath-1-buggy_ind1,add_test.java,org.apache.commons.jxpath.ri.model.dom.DOMModelTest,testNodeAxisOnAttributes,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,118,93,24,40,118,93,24,40,119,93,24,42,119,93,24,42
Jxpath,1,JxPath-1-buggy_ind2,add_test1.java,org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest,testNodeAxisOnAttributes,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,118,93,24,40,118,93,24,40,119,93,24,42,119,93,24,42
Jxpath,2,JxPath-2-buggy,add_test.java,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest,testNodeSetReturnPointersBase,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,40,6,4,2,,,,,41,21,7,3
Jxpath,5,JxPath-5-buggy,add_test.java,org.apache.commons.jxpath.ri.compiler.VariableTest,testUnionOfNodeAndVariableReverse,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,35,61,8,12,,,,,63,41,14,14
Jxpath,6,JxPath-6-buggy,add_test.java,org.apache.commons.jxpath.ri.compiler.VariableTest,testIterateVariable,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jxpath,7,JxPath-7-buggy,add_test.java,org.apache.commons.jxpath.ri.compiler.CoreOperationTest,testNodeSetOperations,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jxpath,8,JxPath-8-buggy,add_test.java,org.apache.commons.jxpath.ri.compiler.CoreOperationTest,testNan,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jxpath,10,JxPath-10-buggy,add_test.java,org.apache.commons.jxpath.ri.compiler.CoreOperationTest,testEmptyNodeSetOperationsRightHand,Not Pass,Pass,Pass,Pass,,,,,,,,,,,,,19,0,2,0,,,,,27,4,4,2
Jxpath,11,JxPath-11-buggy,add_test.java,org.apache.commons.jxpath.ri.model.XMLModelTestCase,testNamespaceMapping,Not Pass,Pass,Pass,Pass,,,,,,,,,,,,,53,99,6,22,,,,,55,138,6,36
Jxpath,12,JxPath-12-buggy,add_test.java,org.apache.commons.jxpath.ri.model.ExternalXMLNamespaceTest,testElementDOM,Not Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,43,75,7,30,,,,,43,81,7,34
