project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Lang,1,Lang-1-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,TestLang747,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,3,Lang-3-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testStringCreateNumberEnsureNoPrecisionLossWithDoubleSuffixSmall,Not Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,229,177,31,57,,,,,224,181,30,58
Lang,4,Lang-4-buggy,add_test.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLang882,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,96,11,9,5,,,,,117,10,12,10
Lang,5,Lang-5-buggy,add_test.java,org.apache.commons.lang3.LocaleUtilsTest,testLang865,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,31,160,3,23,,,,,109,198,15,27
Lang,6,Lang-6-buggy_ind1,add_test.java,org.apache.commons.lang3.StringUtilsTest,testEscapeUnpairedHighSurrogate,Not Pass,Pass,Pass,Pass,2,0.0909,2,0.0417,2,0.4000,2,0.1818,34,22,5,5,36,20,7,3,34,48,5,11,36,46,7,9
Lang,6,Lang-6-buggy_ind2,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testEscapeUnpairedLowSurrogate,Not Pass,Pass,Pass,Pass,2,0.0909,2,0.0417,2,0.4000,2,0.1818,34,22,5,5,36,20,7,3,34,48,5,11,36,46,7,9
Lang,9,Lang-9-buggy,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testLANG_832,Not Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,99,9,5,3,,,,,109,9,7,3
Lang,10,Lang-10-buggy,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,Not Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,36,18,6,7,,,,,36,18,6,7
Lang,11,Lang-11-buggy,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,20,143,6,44,,,,,29,161,5,49
Lang,12,Lang-12-buggy,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG805,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,14,Lang-14-buggy,add_test.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testEqualsAdditional,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,13,2,4,2,,,,,44,4,14,2
Lang,15,Lang-15-buggy,add_test.java,org.apache.commons.lang3.reflect.TypeUtilsTest,testGetTypeArguments,Not Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,107,16,24,8,,,,,107,12,25,5
Lang,17,Lang-17-buggy,add_test.java,org.apache.commons.lang3.StringEscapeUtilsTest,testSupplementaryPairsUnchanged,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,35,28,5,7,,,,,38,23,5,7
Lang,19,Lang-19-buggy_ind1,add_test.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testUnfinishedDecimalEntity,Pass,Not Pass,Pass,Pass,3,0.0361,12,0.2791,2,0.1818,6,0.3158,47,83,7,11,50,80,9,9,120,43,25,19,132,31,31,13
Lang,19,Lang-19-buggy_ind2,add_test1.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testSupplementaryEntity,Pass,Pass,Pass,Pass,42,0.5060,23,0.5349,4,0.3636,6,0.3158,47,83,7,11,89,41,11,7,120,43,25,19,143,20,31,13
Lang,20,Lang-20-buggy_ind1,add_test.java,org.apache.commons.lang3.StringUtilsTest,testJoin_ArrayChar,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
