project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Math,1,Math-1-buggy,add_test.java,org.apache.commons.math3.fraction.BigFractionTest,testDigitLimitConstructorNegativeOverflow,Not Compilable,Pass,Not Compilable,Pass,,,Not Compilable,Not Compilable,,,Not Compilable,Not Compilable,,,,,285,42,31,9,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,3,Math-3-buggy,add_test.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithEmptyArray,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,85,102,2,8,,,,,22,180,4,10
Math,4,Math-4-buggy,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,testIntersectionColinearDisjoint,Pass,Pass,Pass,Pass,,,,,,,,,,,,,88,76,10,26,,,,,88,76,16,28
Math,6,Math-6-buggy,add_test.java,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest,testIterationsUpdatedPowell,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,1966,860,176,137,,,,,1978,876,176,141
Math,7,Math-7-buggy,add_test.java,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest,testEventsSchedulingBackward,Not Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,229,54,25,11,,,,,231,96,25,21
Math,8,Math-8-buggy,add_test.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testIssue942,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,16,16,2,2,,,,,70,14,14,8
Math,9,Math-9-buggy,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.LineTest,testDoubleRevert,Not Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,13,2,0,0,,,,,11,2,0,0
Math,10,Math-10-buggy,add_test.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2InfinityCases,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,144,1,7,1,,,,,154,1,7,1
Math,11,Math-11-buggy,add_test.java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testThreeDimensionalStandardAtMean,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,23,7,1,1,,,,,23,7,1,1
Math,13,Math-13-buggy,add_test.java,org.apache.commons.math3.optimization.fitting.PolynomialFitterTest,testLargeSample,Not Compilable,Not Pass,Not Compilable,Pass,,,Not Compilable,Not Compilable,,,Not Compilable,Not Compilable,,,,,0,8,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,15,Math-15-buggy,add_test.java,org.apache.commons.math3.util.FastMathTest,testMath904_additionalOddLarge,Not Compilable,Not Pass,Not Compilable,Pass,,,Not Compilable,Not Compilable,,,Not Compilable,Not Compilable,,,,,164,218,13,61,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,17,Math-17-buggy,add_test.java,org.apache.commons.math3.dfp.DfpTest,testMultiply,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,18,Math-18-buggy,add_test.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testZeroRangeBound,Not Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,104,32,8,8,,,,,124,61,13,13
Math,19,Math-19-buggy,add_test.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testBoundaryRangeTooLargeMixedDimensions,Not Pass,Pass,Pass,Pass,,,,,,,,,,,,,68,103,9,19,,,,,95,105,11,21
Math,20,Math-20-buggy,add_test.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testLowerBoundRepair,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,4,0,0,0,,,,,6,0,0,0
Math,21,Math-21-buggy,add_test.java,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest,testSemidefiniteRank,Not Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,273,26,26,2,,,,,272,26,26,2
Math,23,Math-23-buggy,add_test.java,org.apache.commons.math3.optimization.univariate.BrentOptimizerTest,testKeepInitIfBestMaximize,Pass,Not Pass,Pass,Pass,,,,,,,,,,,,,335,64,44,16,,,,,340,64,46,16
