project,bug_id,folder,result
Gson,1,Gson-1-buggy,Not Compilable
Gson,2,Gson-2-buggy,Pass
Gson,3,Gson-3-buggy,Not Compilable
Gson,4,Gson-4-buggy,Not Pass
Gson,5,Gson-5-buggy,Pass
Gson,6,Gson-6-buggy,Not Compilable
Gson,7,Gson-7-buggy,Pass
Gson,8,Gson-8-buggy,Pass
Gson,9,Gson-9-buggy,Not Compilable
Gson,10,Gson-10-buggy,Pass
Gson,11,Gson-11-buggy,Pass
Gson,12,Gson-12-buggy,Not Pass
Gson,13,Gson-13-buggy,Pass
Gson,14,Gson-14-buggy,Pass
Gson,15,Gson-15-buggy,Pass
Gson,16,Gson-16-buggy,Pass
Gson,17,Gson-17-buggy,Pass
Gson,18,Gson-18-buggy,Pass
