project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,67,1,,,,,
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,68,2,,,,,
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,69,3,2,0,1,1,True
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,70,4,,,,,
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,71,5,0,2,0,0,False
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,72,6,,,,,
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,73,7,,,,,
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,74,8,3,0,0,0,True
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,75,9,2,0,0,0,True
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,76,10,5,0,2,0,True
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,77,11,,,,,
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,78,12,6,0,0,0,True
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,79,13,,,,,
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,80,14,5,0,0,0,True
Cli,1,Cli-1-buggy,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,81,81,15,,,,,
Cli,1,Cli-1-buggy,function_2,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),100,124,100,1,,,,,
Cli,1,Cli-1-buggy,function_2,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),100,124,101,2,,,,,
