project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,56,1,,,,,
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,57,2,3,0,0,0,True
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,58,3,3,0,1,1,True
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,59,4,0,4,0,2,False
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,60,5,0,7,0,0,False
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,61,6,,,,,
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,62,7,3,0,2,0,True
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,63,8,6,0,0,0,True
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,64,9,,,,,
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,65,10,3,0,0,0,True
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,66,11,3,0,0,0,True
Csv,1,Csv-1-buggy,function_1,org.apache.commons.csv.ExtendedBufferedReader,org/apache/commons/csv/ExtendedBufferedReader.java,public int read() throws IOException {,56,67,67,12,,,,,
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,61,1,2,0,0,0,True
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,62,2,3,0,0,0,True
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,63,3,3,0,0,0,True
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,64,4,,,,,
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,65,5,3,0,0,0,True
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,66,6,3,0,0,0,True
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,67,7,3,0,0,0,True
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,68,8,,,,,
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,69,9,4,0,0,0,True
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,70,10,6,0,2,2,True
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,71,11,4,0,0,0,True
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,72,12,,,,,
Csv,10,Csv-10-buggy,function_1,org.apache.commons.csv.CSVPrinter,org/apache/commons/csv/CSVPrinter.java,"public CSVPrinter(final Appendable out, final CSVFormat format) throws IOException {",61,73,73,13,1,0,0,0,True
Csv,11,Csv-11-buggy,function_1,org.apache.commons.csv.CSVParser,org/apache/commons/csv/CSVParser.java,"private Map<String, Integer> initializeHeader() throws IOException {",359,400,359,1,,,,,
Csv,11,Csv-11-buggy,function_1,org.apache.commons.csv.CSVParser,org/apache/commons/csv/CSVParser.java,"private Map<String, Integer> initializeHeader() throws IOException {",359,400,360,2,2,0,0,0,True
Csv,11,Csv-11-buggy,function_1,org.apache.commons.csv.CSVParser,org/apache/commons/csv/CSVParser.java,"private Map<String, Integer> initializeHeader() throws IOException {",359,400,361,3,4,0,0,0,True
Csv,11,Csv-11-buggy,function_1,org.apache.commons.csv.CSVParser,org/apache/commons/csv/CSVParser.java,"private Map<String, Integer> initializeHeader() throws IOException {",359,400,362,4,2,0,1,1,True
Csv,11,Csv-11-buggy,function_1,org.apache.commons.csv.CSVParser,org/apache/commons/csv/CSVParser.java,"private Map<String, Integer> initializeHeader() throws IOException {",359,400,363,5,4,0,0,0,True
Csv,11,Csv-11-buggy,function_1,org.apache.commons.csv.CSVParser,org/apache/commons/csv/CSVParser.java,"private Map<String, Integer> initializeHeader() throws IOException {",359,400,364,6,,,,,
