project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,113,1,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,114,2,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,115,3,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,116,4,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,117,5,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,118,6,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,119,7,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,120,8,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,121,9,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,122,10,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,123,11,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,124,12,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,125,13,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,126,14,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,127,15,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,128,16,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,129,17,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,130,18,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,131,19,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,132,20,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,133,21,,,,,Not Compilable
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,134,134,22,,,,,Not Compilable
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,156,1,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,157,2,2,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,158,3,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,159,4,4,0,1,1,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,160,5,0,2,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,161,6,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,162,7,4,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,163,8,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,164,9,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,165,10,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,166,11,6,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,167,12,0,1,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,168,13,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,169,14,0,5,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,170,15,0,3,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,171,16,1,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,172,17,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,173,18,4,0,2,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,184,174,19,3,0,0,0,True
