project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,355,1,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,356,2,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,357,3,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,358,4,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,359,5,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,360,6,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,361,7,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,362,8,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,363,9,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,364,10,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,365,11,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,366,12,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,367,13,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,368,14,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,369,15,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,370,16,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,371,17,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,372,18,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,373,19,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,374,20,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,375,21,,,,,
Jacksondatabind,100,JacksonDatabind-100-buggy,function_1,com.fasterxml.jackson.databind.node.TreeTraversingParser,com/fasterxml/jackson/databind/node/TreeTraversingParser.java,public byte[] getBinaryValue(Base64Variant b64variant),355,376,376,22,,,,,
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,736,1,,,,,
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,737,2,,,,,
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,738,3,,,,,
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,739,4,,,,,
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,740,5,,,,,
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,741,6,,,,,
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,742,7,,,,,
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,743,8,3,0,0,0,True
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,744,9,7,0,0,0,True
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,745,10,,,,,
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,746,11,6,0,0,0,True
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,747,12,2,0,0,0,True
Jacksondatabind,101,JacksonDatabind-101-buggy,function_1,com.fasterxml.jackson.databind.deser.BeanDeserializer,com/fasterxml/jackson/databind/deser/BeanDeserializer.java,"protected Object deserializeUsingPropertyBasedWithUnwrapped(JsonParser p, DeserializationContext ctxt)",736,836,748,13,,,,,
