project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,104,1,,,,,
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,105,2,2,0,0,0,True
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,106,3,4,0,2,0,True
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,107,4,4,0,0,0,True
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,108,5,3,0,1,1,True
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,109,6,0,2,0,0,False
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,110,7,9,0,2,0,True
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,111,8,,,,,
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,112,9,5,0,0,0,True
Jsoup,13,Jsoup-13-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public boolean hasAttr(String attributeKey) {,104,113,113,10,,,,,
Jsoup,14,Jsoup-14-buggy,function_1,org.jsoup.parser.Tokeniser,org/jsoup/parser/Tokeniser.java,boolean isAppropriateEndTagToken() {,193,195,193,1,,,,,
Jsoup,14,Jsoup-14-buggy,function_1,org.jsoup.parser.Tokeniser,org/jsoup/parser/Tokeniser.java,boolean isAppropriateEndTagToken() {,193,195,194,2,18,0,4,2,True
Jsoup,14,Jsoup-14-buggy,function_1,org.jsoup.parser.Tokeniser,org/jsoup/parser/Tokeniser.java,boolean isAppropriateEndTagToken() {,193,195,195,3,,,,,
Jsoup,14,Jsoup-14-buggy,function_2,org.jsoup.parser.TokeniserState,org/jsoup/parser/TokeniserState.java,"void read(Tokeniser t, CharacterReader r) {",214,224,214,1,,,,,
Jsoup,14,Jsoup-14-buggy,function_2,org.jsoup.parser.TokeniserState,org/jsoup/parser/TokeniserState.java,"void read(Tokeniser t, CharacterReader r) {",214,224,215,2,4,0,2,0,True
Jsoup,14,Jsoup-14-buggy,function_2,org.jsoup.parser.TokeniserState,org/jsoup/parser/TokeniserState.java,"void read(Tokeniser t, CharacterReader r) {",214,224,216,3,2,0,0,0,True
Jsoup,14,Jsoup-14-buggy,function_2,org.jsoup.parser.TokeniserState,org/jsoup/parser/TokeniserState.java,"void read(Tokeniser t, CharacterReader r) {",214,224,217,4,4,0,0,0,True
Jsoup,14,Jsoup-14-buggy,function_2,org.jsoup.parser.TokeniserState,org/jsoup/parser/TokeniserState.java,"void read(Tokeniser t, CharacterReader r) {",214,224,218,5,,,,,
Jsoup,14,Jsoup-14-buggy,function_2,org.jsoup.parser.TokeniserState,org/jsoup/parser/TokeniserState.java,"void read(Tokeniser t, CharacterReader r) {",214,224,219,6,,,,,
Jsoup,14,Jsoup-14-buggy,function_2,org.jsoup.parser.TokeniserState,org/jsoup/parser/TokeniserState.java,"void read(Tokeniser t, CharacterReader r) {",214,224,220,7,,,,,
