project,bug_id,add_test_file,label
Closure,55,add_test1.java,Incomplete Bug-Triggering Condition
Collections,8,add_test.java,Incomplete Bug-Triggering Condition
Cli,34,add_test.java,No Understanding Hallucination
Closure,26,add_test2.java,No Understanding Hallucination
Time,26,add_test1.java,Non-existent Symbol Reference
Closure,1,add_test2.java,Duplicated Declaration
Closure,126,add_test1.java,Incorrect Output Expectation
JacksonDatabind,63,add_test1.java,Incorrect Output Expectation
Mockito,36,add_test.java,Missing Import or Dependency
JacksonDatabind,66,add_test.java,Non-existent Symbol Reference
Cli,29,add_test.java,Faulty Code Location Not Reached
Jsoup,42,add_test1.java,Partial Test
Closure,88,add_test1.java,Duplicated Declaration
Mockito,6,add_test.java,Under-Specified Assertion
Mockito,22,add_test1.java,Incomplete Bug-Triggering Condition
Lang,11,add_test.java,No Understanding Hallucination
Lang,5,add_test1.java,No Understanding Hallucination
Jsoup,74,add_test.java,Overfitting Testcase
Collections,9,add_test.java,Incorrect Output Expectation
Math,78,add_test.java,No Understanding Hallucination
JacksonDatabind,88,add_test2.java,Compilable Unrelated Runtime Failure
Mockito,37,add_test1.java,Faulty Code Location Not Reached
Compress,37,add_test1.java,Missing Import or Dependency
Math,27,add_test2.java,Incomplete Bug-Triggering Condition
Math,29,add_test.java,Duplicated Declaration
Time,6,add_test2.java,Partial Test
Math,11,add_test1.java,No Understanding Hallucination
Codec,5,add_test.java,No Understanding Hallucination
Compress,47,add_test1.java,Incorrect Output Expectation
Math,24,add_test1.java,Incomplete Bug-Triggering Condition
Lang,27,add_test.java,Test-framework/Language Version Mismatch
Mockito,28,add_test.java,Test-framework/Language Version Mismatch
Mockito,3,add_test.java,No Understanding Hallucination
Closure,113,add_test1.java,Incorrect Output Expectation
Time,20,add_test.java,Incomplete Bug-Triggering Condition
Gson,2,add_test1.java,No Understanding Hallucination
Lang,20,add_test.java,Incomplete Bug-Triggering Condition
Compress,41,add_test.java,Missing Import or Dependency
JacksonDatabind,97,add_test2.java,Test-framework/Language Version Mismatch
Math,98,add_test2.java,No Understanding Hallucination
Jsoup,46,add_test.java,Under-Specified Assertion
Closure,62,add_test.java,No Understanding Hallucination
Codec,4,add_test1.java,No Understanding Hallucination
Chart,5,add_test.java,Incomplete Bug-Triggering Condition
JacksonCore,26,add_test1.java,Incomplete Bug-Triggering Condition
Closure,172,add_test.java,Incomplete Bug-Triggering Condition
JacksonDatabind,37,add_test.java,No Understanding Hallucination
Jsoup,76,add_test1.java,Incorrect Output Expectation
Closure,152,add_test1.java,Incorrect Output Expectation
JacksonDatabind,47,add_test.java,Compilable Unrelated Runtime Failure
Compress,24,add_test.java,Incomplete Bug-Triggering Condition
Closure,7,add_test1.java,Duplicated Declaration
JacksonCore,26,add_test.java,Incorrect Output Expectation
Cli,40,add_test.java,No Understanding Hallucination
Closure,55,add_test2.java,Non-existent Symbol Reference
JacksonDatabind,33,add_test.java,Incomplete Bug-Triggering Condition
Compress,36,add_test.java,No Understanding Hallucination
Math,67,add_test.java,Incorrect Output Expectation
Compress,8,add_test3.java,Incomplete Bug-Triggering Condition
Mockito,31,add_test2.java,Compilable Unrelated Runtime Failure
Csv,3,add_test.java,No Understanding Hallucination
JacksonDatabind,99,add_test2.java,Incomplete Bug-Triggering Condition
Closure,75,add_test.java,No Understanding Hallucination
JacksonDatabind,15,add_test.java,No Understanding Hallucination
JacksonDatabind,97,add_test.java,Test-framework/Language Version Mismatch
Closure,12,add_test.java,No Understanding Hallucination
Lang,31,add_test1.java,Incorrect Output Expectation
Csv,7,add_test2.java,Incomplete Bug-Triggering Condition
Jsoup,53,add_test.java,Incorrect Exception Expectation
Cli,11,add_test2.java,Incomplete Bug-Triggering Condition
Cli,8,add_test.java,Compilable Unrelated Runtime Failure
JacksonDatabind,67,add_test1.java,Test-framework/Language Version Mismatch
Jsoup,58,add_test5.java,Incomplete Bug-Triggering Condition
Chart,17,add_test.java,Incomplete Bug-Triggering Condition
Closure,71,add_test.java,Incorrect Output Expectation
Closure,92,add_test1.java,Incomplete Bug-Triggering Condition
Jsoup,8,add_test.java,Non-existent Symbol Reference
Jsoup,81,add_test1.java,No Understanding Hallucination
Closure,172,add_test1.java,Under-Specified Assertion
Jsoup,58,add_test1.java,Incomplete Bug-Triggering Condition
JacksonCore,18,add_test1.java,Incomplete Bug-Triggering Condition
Closure,8,add_test.java,Incomplete Bug-Triggering Condition
Jsoup,70,add_test1.java,Incomplete Bug-Triggering Condition
Jsoup,34,add_test1.java,Incomplete Bug-Triggering Condition
JacksonDatabind,109,add_test1.java,Faulty Code Location Not Reached
Chart,7,add_test.java,Duplicated Declaration
Cli,5,add_test2.java,Incomplete Bug-Triggering Condition
Closure,38,add_test1.java,Incomplete Bug-Triggering Condition
Compress,22,add_test.java,Incorrect Exception Expectation
Cli,21,add_test.java,Faulty Code Location Not Reached
Closure,143,add_test.java,Partial Test
Jsoup,37,add_test2.java,Incomplete Bug-Triggering Condition
