model,project,bug_id,status
Claude,Chart,1,pass
Claude,Chart,2,not pass
Claude,Chart,3,not pass
Claude,Chart,4,pass
Claude,Chart,5,not pass
Claude,Chart,6,not pass
Claude,Chart,7,pass
Claude,Chart,8,pass
Claude,Chart,9,pass
Claude,Chart,10,pass
Claude,Chart,11,pass
Claude,Chart,12,pass
Claude,Chart,13,not pass
Claude,Chart,14,pass
Claude,Chart,15,not pass
Claude,Chart,16,not pass
Claude,Chart,17,pass
Claude,Chart,18,not pass
Claude,Chart,19,not pass
Claude,Chart,20,pass
Claude,Chart,21,not pass
Claude,Chart,22,not pass
Claude,Chart,23,not pass
Claude,Chart,24,pass
Claude,Chart,25,not pass
Claude,Chart,26,pass
