model,project,bug_id,status
Claude,Collections,1,pass
Claude,Collections,2,not pass
Claude,Collections,3,pass
Claude,Collections,4,pass
Claude,Collections,5,not pass
Claude,Collections,6,pass
Claude,Collections,7,not pass
Claude,Collections,8,pass
Claude,Collections,9,not pass
Claude,Collections,11,not pass
Claude,Collections,12,not pass
Claude,Collections,13,not pass
Claude,Collections,14,not pass
Claude,Collections,15,not pass
Claude,Collections,16,pass
Claude,Collections,17,not pass
Claude,Collections,18,not pass
Claude,Collections,19,not pass
Claude,Collections,20,not pass
Claude,Collections,21,not pass
Claude,Collections,22,pass
Claude,Collections,23,pass
Claude,Collections,24,not compilable
Claude,Collections,25,not pass
Claude,Collections,26,not compilable
Claude,Collections,27,not pass
Claude,Collections,28,not compilable
