model,project,bug_id,status
Claude,Compress,1,not pass
Claude,Compress,2,not pass
Claude,Compress,3,not compilable
Claude,Compress,4,not pass
Claude,Compress,5,not pass
Claude,Compress,6,pass
Claude,Compress,7,pass
Claude,Compress,8,not pass
Claude,Compress,9,not pass
Claude,Compress,10,not compilable
Claude,Compress,11,not pass
Claude,Compress,12,not pass
Claude,Compress,13,not pass
Claude,Compress,14,not pass
Claude,Compress,15,not pass
Claude,Compress,16,not pass
Claude,Compress,17,not pass
Claude,Compress,18,pass
Claude,Compress,19,pass
Claude,Compress,20,not pass
Claude,Compress,21,pass
Claude,Compress,22,not pass
Claude,Compress,23,pass
Claude,Compress,24,not pass
Claude,Compress,25,not compilable
Claude,Compress,26,pass
Claude,Compress,27,not pass
Claude,Compress,28,not pass
Claude,Compress,29,not pass
Claude,Compress,30,not pass
Claude,Compress,31,not pass
Claude,Compress,32,not pass
Claude,Compress,33,not pass
Claude,Compress,34,pass
Claude,Compress,35,not pass
Claude,Compress,36,not pass
Claude,Compress,37,not pass
Claude,Compress,38,pass
Claude,Compress,39,not pass
Claude,Compress,40,not pass
Claude,Compress,41,not pass
Claude,Compress,42,not pass
Claude,Compress,43,not pass
Claude,Compress,44,not compilable
Claude,Compress,45,pass
Claude,Compress,46,not pass
Claude,Compress,47,not pass
