model,project,bug_id,status
Claude,Jsoup,1,not pass
Claude,Jsoup,2,not pass
Claude,Jsoup,3,not pass
Claude,Jsoup,4,not pass
Claude,Jsoup,5,not pass
Claude,Jsoup,6,not pass
Claude,Jsoup,7,not compilable
Claude,Jsoup,8,not compilable
Claude,Jsoup,10,not pass
Claude,Jsoup,11,not pass
Claude,Jsoup,12,not pass
Claude,Jsoup,13,not pass
Claude,Jsoup,14,not pass
Claude,Jsoup,15,not pass
Claude,Jsoup,16,not pass
Claude,Jsoup,18,not pass
Claude,Jsoup,19,not compilable
Claude,Jsoup,20,not pass
Claude,Jsoup,21,not pass
Claude,Jsoup,22,not compilable
Claude,Jsoup,23,not pass
Claude,Jsoup,24,pass
Claude,Jsoup,26,pass
Claude,Jsoup,27,not pass
Claude,Jsoup,28,not pass
Claude,Jsoup,29,not compilable
Claude,Jsoup,30,not compilable
Claude,Jsoup,31,not pass
Claude,Jsoup,32,pass
Claude,Jsoup,33,not pass
Claude,Jsoup,34,pass
Claude,Jsoup,35,not pass
Claude,Jsoup,36,not pass
Claude,Jsoup,37,not pass
Claude,Jsoup,38,not pass
Claude,Jsoup,39,not pass
Claude,Jsoup,40,not pass
Claude,Jsoup,41,pass
Claude,Jsoup,42,not pass
Claude,Jsoup,43,pass
Claude,Jsoup,44,not pass
Claude,Jsoup,45,pass
Claude,Jsoup,46,not pass
Claude,Jsoup,47,not pass
Claude,Jsoup,48,pass
Claude,Jsoup,49,not pass
Claude,Jsoup,50,not pass
Claude,Jsoup,51,pass
Claude,Jsoup,52,not pass
Claude,Jsoup,53,not pass
Claude,Jsoup,54,pass
Claude,Jsoup,55,pass
Claude,Jsoup,56,not pass
Claude,Jsoup,57,pass
Claude,Jsoup,58,not pass
Claude,Jsoup,59,pass
Claude,Jsoup,61,not pass
Claude,Jsoup,62,not pass
Claude,Jsoup,63,not pass
Claude,Jsoup,64,not pass
Claude,Jsoup,65,pass
Claude,Jsoup,66,not pass
Claude,Jsoup,67,not compilable
Claude,Jsoup,68,pass
Claude,Jsoup,69,not pass
Claude,Jsoup,70,pass
Claude,Jsoup,71,not pass
Claude,Jsoup,72,not pass
Claude,Jsoup,73,not pass
Claude,Jsoup,74,not pass
Claude,Jsoup,75,not pass
Claude,Jsoup,76,not pass
Claude,Jsoup,77,not pass
Claude,Jsoup,78,not pass
Claude,Jsoup,79,not compilable
Claude,Jsoup,80,not pass
Claude,Jsoup,81,not pass
Claude,Jsoup,82,not pass
Claude,Jsoup,83,not pass
Claude,Jsoup,84,not pass
Claude,Jsoup,86,not pass
Claude,Jsoup,87,not pass
Claude,Jsoup,88,not pass
Claude,Jsoup,89,pass
Claude,Jsoup,90,pass
Claude,Jsoup,91,not pass
Claude,Jsoup,92,not compilable
Claude,Jsoup,93,not pass
