model,project,bug_id,status
Claude,Lang,1,not pass
Claude,Lang,3,not pass
Claude,Lang,4,not pass
Claude,Lang,5,not pass
Claude,Lang,6,not pass
Claude,Lang,7,not pass
Claude,Lang,8,not pass
Claude,Lang,9,not pass
Claude,Lang,10,not pass
Claude,Lang,11,not pass
Claude,Lang,12,pass
Claude,Lang,13,pass
Claude,Lang,14,pass
Claude,Lang,15,not pass
Claude,Lang,16,not pass
Claude,Lang,17,not pass
Claude,Lang,19,not pass
Claude,Lang,20,not pass
Claude,Lang,21,not pass
Claude,Lang,22,pass
Claude,Lang,24,pass
Claude,Lang,26,not pass
Claude,Lang,27,pass
Claude,Lang,28,not pass
Claude,Lang,29,not pass
Claude,Lang,30,not pass
Claude,Lang,31,pass
Claude,Lang,32,not pass
Claude,Lang,33,pass
Claude,Lang,34,not pass
Claude,Lang,35,not pass
Claude,Lang,36,pass
Claude,Lang,37,not pass
Claude,Lang,38,not pass
Claude,Lang,39,pass
Claude,Lang,40,pass
Claude,Lang,41,not pass
Claude,Lang,42,not pass
Claude,Lang,43,not pass
Claude,Lang,44,not pass
Claude,Lang,45,pass
Claude,Lang,46,pass
Claude,Lang,47,pass
Claude,Lang,49,not pass
Claude,Lang,50,not pass
Claude,Lang,51,pass
Claude,Lang,52,pass
Claude,Lang,53,pass
Claude,Lang,54,not pass
Claude,Lang,55,pass
Claude,Lang,56,not pass
Claude,Lang,57,not pass
Claude,Lang,58,not pass
Claude,Lang,59,pass
Claude,Lang,60,pass
Claude,Lang,61,pass
Claude,Lang,62,not pass
Claude,Lang,63,not pass
Claude,Lang,64,not pass
Claude,Lang,65,not pass
