model,project,bug_id,status
Claude,Time,1,not pass
Claude,Time,2,pass
Claude,Time,3,pass
Claude,Time,4,pass
Claude,Time,5,not pass
Claude,Time,6,not pass
Claude,Time,7,not pass
Claude,Time,8,not pass
Claude,Time,9,not pass
Claude,Time,10,not pass
Claude,Time,12,not pass
Claude,Time,13,not pass
Claude,Time,14,not pass
Claude,Time,15,pass
Claude,Time,16,not pass
Claude,Time,17,not pass
Claude,Time,18,pass
Claude,Time,19,pass
Claude,Time,20,pass
Claude,Time,22,not pass
Claude,Time,23,not compilable
Claude,Time,24,not pass
Claude,Time,25,not pass
Claude,Time,26,not compilable
Claude,Time,27,not pass
