model,project,bug_id,status
DeepSeek,JxPath,1,pass
DeepSeek,JxPath,2,not pass
DeepSeek,JxPath,3,not pass
DeepSeek,JxPath,4,not compilable
DeepSeek,JxPath,5,not pass
DeepSeek,JxPath,6,not compilable
DeepSeek,JxPath,7,not compilable
DeepSeek,JxPath,8,pass
DeepSeek,JxPath,9,not pass
DeepSeek,JxPath,10,pass
DeepSeek,JxPath,11,not pass
DeepSeek,JxPath,12,not pass
DeepSeek,JxPath,13,not pass
DeepSeek,JxPath,14,not pass
DeepSeek,JxPath,15,not compilable
DeepSeek,JxPath,16,pass
DeepSeek,JxPath,17,pass
DeepSeek,JxPath,18,not pass
DeepSeek,JxPath,19,not pass
DeepSeek,JxPath,20,not pass
DeepSeek,JxPath,21,not pass
DeepSeek,JxPath,22,not pass
