model,project,bug_id,status
GPT5,Chart,1,pass
GPT5,Chart,2,not pass
GPT5,Chart,3,not compilable
GPT5,Chart,4,pass
GPT5,Chart,5,pass
GPT5,Chart,6,not pass
GPT5,Chart,7,pass
GPT5,Chart,8,not compilable
GPT5,Chart,9,pass
GPT5,Chart,10,pass
GPT5,Chart,11,pass
GPT5,Chart,12,not pass
GPT5,Chart,13,pass
GPT5,Chart,14,pass
GPT5,Chart,15,not pass
GPT5,Chart,16,not pass
GPT5,Chart,17,not pass
GPT5,Chart,18,not pass
GPT5,Chart,19,not pass
GPT5,Chart,20,pass
GPT5,Chart,21,pass
GPT5,Chart,22,not pass
GPT5,Chart,23,not pass
GPT5,Chart,24,pass
GPT5,Chart,25,pass
GPT5,Chart,26,pass
