model,project,bug_id,status
GPT5,Compress,1,not pass
GPT5,Compress,2,not pass
GPT5,Compress,3,not pass
GPT5,Compress,4,not pass
GPT5,Compress,5,not pass
GPT5,Compress,6,pass
GPT5,Compress,7,pass
GPT5,Compress,8,not pass
GPT5,Compress,9,not pass
GPT5,Compress,10,pass
GPT5,Compress,11,not compilable
GPT5,Compress,12,not pass
GPT5,Compress,13,not pass
GPT5,Compress,14,not pass
GPT5,Compress,15,not pass
GPT5,Compress,16,not pass
GPT5,Compress,17,not pass
GPT5,Compress,18,pass
GPT5,Compress,19,not pass
GPT5,Compress,20,not compilable
GPT5,Compress,21,pass
GPT5,Compress,22,not pass
GPT5,Compress,23,pass
GPT5,Compress,24,not pass
GPT5,Compress,25,not pass
GPT5,Compress,26,pass
GPT5,Compress,27,not pass
GPT5,Compress,28,not pass
GPT5,Compress,29,not pass
GPT5,Compress,30,pass
GPT5,Compress,31,not pass
GPT5,Compress,32,pass
GPT5,Compress,33,not compilable
GPT5,Compress,34,pass
GPT5,Compress,35,pass
GPT5,Compress,36,not pass
GPT5,Compress,37,not pass
GPT5,Compress,38,not pass
GPT5,Compress,39,not pass
GPT5,Compress,40,not pass
GPT5,Compress,41,not pass
GPT5,Compress,42,not compilable
GPT5,Compress,43,not pass
GPT5,Compress,44,pass
GPT5,Compress,45,pass
GPT5,Compress,46,pass
GPT5,Compress,47,not pass
