model,project,bug_id,status
GPT5,JacksonCore,1,not pass
GPT5,JacksonCore,2,not compilable
GPT5,JacksonCore,3,not pass
GPT5,JacksonCore,4,not pass
GPT5,JacksonCore,5,pass
GPT5,JacksonCore,6,pass
GPT5,JacksonCore,7,not pass
GPT5,JacksonCore,8,not pass
GPT5,JacksonCore,9,pass
GPT5,JacksonCore,10,not pass
GPT5,JacksonCore,11,not pass
GPT5,JacksonCore,12,not compilable
GPT5,JacksonCore,13,not pass
GPT5,JacksonCore,14,not pass
GPT5,JacksonCore,15,not pass
GPT5,JacksonCore,16,not compilable
GPT5,JacksonCore,17,pass
GPT5,JacksonCore,18,not pass
GPT5,JacksonCore,19,pass
GPT5,JacksonCore,20,pass
GPT5,JacksonCore,21,not pass
GPT5,JacksonCore,22,not pass
GPT5,JacksonCore,23,not pass
GPT5,JacksonCore,24,not pass
GPT5,JacksonCore,25,pass
GPT5,JacksonCore,26,not pass
