model,project,bug_id,status
GPT5,JacksonDatabind,1,not pass
GPT5,JacksonDatabind,2,not pass
GPT5,JacksonDatabind,3,not pass
GPT5,JacksonDatabind,4,not compilable
GPT5,JacksonDatabind,5,not compilable
GPT5,JacksonDatabind,6,not pass
GPT5,JacksonDatabind,7,not pass
GPT5,JacksonDatabind,8,not pass
GPT5,JacksonDatabind,9,not pass
GPT5,JacksonDatabind,10,not compilable
GPT5,JacksonDatabind,11,not pass
GPT5,JacksonDatabind,12,not pass
GPT5,JacksonDatabind,13,not pass
GPT5,JacksonDatabind,14,not pass
GPT5,JacksonDatabind,15,not compilable
GPT5,JacksonDatabind,16,not pass
GPT5,JacksonDatabind,17,not pass
GPT5,JacksonDatabind,18,not pass
GPT5,JacksonDatabind,19,not pass
GPT5,JacksonDatabind,20,not pass
GPT5,JacksonDatabind,21,not pass
GPT5,JacksonDatabind,22,not pass
GPT5,JacksonDatabind,23,not pass
GPT5,JacksonDatabind,24,not pass
GPT5,JacksonDatabind,25,not pass
GPT5,JacksonDatabind,27,not pass
GPT5,JacksonDatabind,28,pass
GPT5,JacksonDatabind,29,not pass
GPT5,JacksonDatabind,30,not pass
GPT5,JacksonDatabind,31,not pass
GPT5,JacksonDatabind,32,not pass
GPT5,JacksonDatabind,33,not pass
GPT5,JacksonDatabind,34,not pass
GPT5,JacksonDatabind,35,not compilable
GPT5,JacksonDatabind,36,not pass
GPT5,JacksonDatabind,37,not pass
GPT5,JacksonDatabind,38,not pass
GPT5,JacksonDatabind,39,pass
GPT5,JacksonDatabind,41,not pass
GPT5,JacksonDatabind,42,pass
GPT5,JacksonDatabind,43,not pass
GPT5,JacksonDatabind,44,not pass
GPT5,JacksonDatabind,45,not pass
GPT5,JacksonDatabind,46,not pass
GPT5,JacksonDatabind,47,not pass
GPT5,JacksonDatabind,48,not pass
GPT5,JacksonDatabind,49,pass
GPT5,JacksonDatabind,50,not pass
GPT5,JacksonDatabind,51,pass
GPT5,JacksonDatabind,52,not pass
GPT5,JacksonDatabind,53,not pass
GPT5,JacksonDatabind,54,not pass
GPT5,JacksonDatabind,55,not pass
GPT5,JacksonDatabind,56,not pass
GPT5,JacksonDatabind,57,not pass
GPT5,JacksonDatabind,58,not pass
GPT5,JacksonDatabind,59,not pass
GPT5,JacksonDatabind,60,not pass
GPT5,JacksonDatabind,61,not pass
GPT5,JacksonDatabind,62,not pass
GPT5,JacksonDatabind,63,not pass
GPT5,JacksonDatabind,64,not compilable
GPT5,JacksonDatabind,66,not compilable
GPT5,JacksonDatabind,67,not compilable
GPT5,JacksonDatabind,68,not pass
GPT5,JacksonDatabind,69,not pass
GPT5,JacksonDatabind,70,pass
GPT5,JacksonDatabind,71,not pass
GPT5,JacksonDatabind,73,not compilable
GPT5,JacksonDatabind,74,not compilable
GPT5,JacksonDatabind,75,not pass
GPT5,JacksonDatabind,76,not pass
GPT5,JacksonDatabind,77,not pass
GPT5,JacksonDatabind,78,not pass
GPT5,JacksonDatabind,79,not compilable
GPT5,JacksonDatabind,80,not pass
GPT5,JacksonDatabind,81,not compilable
GPT5,JacksonDatabind,82,not pass
GPT5,JacksonDatabind,83,pass
GPT5,JacksonDatabind,84,not pass
GPT5,JacksonDatabind,85,not pass
GPT5,JacksonDatabind,86,not pass
GPT5,JacksonDatabind,87,not pass
GPT5,JacksonDatabind,88,not pass
GPT5,JacksonDatabind,90,not pass
GPT5,JacksonDatabind,91,not pass
GPT5,JacksonDatabind,93,pass
GPT5,JacksonDatabind,94,not pass
GPT5,JacksonDatabind,95,not compilable
GPT5,JacksonDatabind,96,not pass
GPT5,JacksonDatabind,97,not pass
GPT5,JacksonDatabind,98,pass
GPT5,JacksonDatabind,99,not pass
GPT5,JacksonDatabind,100,not pass
GPT5,JacksonDatabind,101,not pass
GPT5,JacksonDatabind,102,not pass
GPT5,JacksonDatabind,103,not pass
GPT5,JacksonDatabind,104,not pass
GPT5,JacksonDatabind,105,not pass
GPT5,JacksonDatabind,106,not pass
GPT5,JacksonDatabind,107,not pass
GPT5,JacksonDatabind,108,not pass
GPT5,JacksonDatabind,109,not pass
GPT5,JacksonDatabind,110,not pass
GPT5,JacksonDatabind,111,not compilable
GPT5,JacksonDatabind,112,not pass
