bug_id,bug_precision,bug_recall,bug_f1,fix_precision,fix_recall,fix_f1,bug_score,fix_score,code_status
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
2,1.0,1.0,1.0,0.8,1.0,0.888888888888889,1.0,0.888888888888889,notpass
3,1.0,1.0,1.0,1.0,0.875,0.9333333333333333,1.0,0.9333333333333333,pass
4,0.8571428571428571,1.0,0.923076923076923,1.0,1.0,1.0,0.923076923076923,1.0,pass
5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,not_compilable
6,0.40476190476190477,1.0,0.576271186440678,1.0,1.0,1.0,0.576271186440678,1.0,pass
7,1.0,0.9230769230769231,0.9600000000000001,0.8,0.8888888888888888,0.8421052631578948,0.9600000000000001,0.8421052631578948,notpass
8,0.3333333333333333,0.75,0.46153846153846156,0.3333333333333333,0.75,0.46153846153846156,0.46153846153846156,0.46153846153846156,notpass
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
12,1.0,0.8,0.888888888888889,1.0,0.8,0.888888888888889,0.888888888888889,0.888888888888889,notpass
13,0.6,1.0,0.7499999999999999,1.0,0.8571428571428571,0.923076923076923,0.7499999999999999,0.923076923076923,pass
14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,not_compilable
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
17,1.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.8,0.0,not_compilable
18,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,not_compilable
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
20,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9,0.9473684210526316,0.9411764705882353,0.9473684210526316,pass
21,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,not_compilable
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
24,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.8,notpass
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_compilable
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,notpass
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,notpass
